Частота графического ядра,Рейтинг,Пропускная способность памяти,Количество отзывов,Название,Количество каналов памяти,Поддержка памяти ECC,Гарантия,Встроенное графическое ядро,Цена,Максимальный объем памяти,Максимальный объем видеопамяти
350.0,0.0,37.5,0.0,0,2.0,1.0,36.0,1.0,8590,64.0,64.0
0.0,0.0,0.0,0.0,0,0.0,0.0,36.0,1.0,4990,0.0,0.0
350.0,0.0,41.6,0.0,i7-8700k,2.0,0.0,36.0,1.0,27790,128.0,64.0
0.0,0.0,41.6,0.0,i5-8600,2.0,0.0,36.0,1.0,21390,128.0,0.0
0.0,0.0,41.6,0.0,i5-8500,2.0,0.0,36.0,1.0,20190,128.0,0.0
350.0,0.0,0.0,0.0,i3-8300,2.0,1.0,36.0,1.0,12390,64.0,64.0
350.0,0.0,37.5,0.0,"celeron g4900 3,1ghz ",2.0,1.0,36.0,1.0,2690,64.0,64.0
0.0,0.0,0.0,0.0,i7-8700,0.0,0.0,36.0,0.0,29190,0.0,0.0
0.0,0.0,0.0,0.0,celeron g3950 3.0ghz/2mb box ,0.0,0.0,36.0,1.0,5790,64.0,0.0
0.0,0.0,0.0,0.0,0,0.0,0.0,36.0,1.0,5790,0.0,0.0
0.0,0.0,0.0,0.0,процессор,0.0,0.0,12.0,1.0,21990,0.0,0.0
0.0,0.0,0.0,0.0,ryzen threadripper 2990wx tr4 box w/o cooler (yd299xazafwof),0.0,0.0,36.0,0.0,119990,0.0,0.0
0.0,0.0,0.0,0.0,ryzen threadripper 2970wx tr4 box w/o cooler (yd297xazafwof),0.0,0.0,36.0,0.0,85990,0.0,0.0
0.0,0.0,0.0,0.0,ryzen threadripper 2950x tr4 box w/o cooler (yd295xa8afwof),4.0,0.0,36.0,0.0,52990,0.0,0.0
0.0,0.0,0.0,0.0,ryzen threadripper 2920x tr4 box w/o cooler (yd292xa8afwof),0.0,0.0,36.0,0.0,35190,0.0,0.0
0.0,0.0,0.0,0.0,ryzen 9 3900x am4 box wraith prism cooler (100-100000023box),2.0,0.0,36.0,0.0,47390,0.0,0.0
0.0,0.0,0.0,0.0,ryzen 7 3800x am4 box wraith prism cooler (100-100000025box),0.0,0.0,36.0,0.0,29390,0.0,0.0
0.0,0.0,0.0,0.0,ryzen 7 3700x am4 box wraith prism cooler (100-100000071box),0.0,0.0,36.0,0.0,28990,0.0,0.0
0.0,0.0,0.0,0.0,ryzen 5 3400g am4 box (yd3400c5fhbox),0.0,0.0,36.0,0.0,13390,0.0,0.0
0.0,0.0,0.0,0.0,ryzen 7 2700x am4 box (yd270xbgafbox),0.0,0.0,36.0,0.0,17990,0.0,0.0
0.0,0.0,0.0,0.0,ryzen 7 2700 am4 box (yd2700bbafbox),0.0,0.0,36.0,0.0,15990,0.0,0.0
0.0,0.0,0.0,0.0,ryzen 5 2600x am4 box (yd260xbcafbox),0.0,0.0,36.0,0.0,12990,0.0,0.0
0.0,0.0,0.0,0.0,athlon 3000g am4 box (yd3000c6fhbox),0.0,0.0,36.0,1.0,3990,0.0,0.0
0.0,0.0,0.0,0.0,ryzen 3 3100,0.0,0.0,36.0,0.0,9190,0.0,0.0
0.0,0.0,0.0,0.0,i3-10105f,0.0,0.0,36.0,0.0,6899,0.0,0.0
350.0,0.0,50.0,0.0,i5-11600,2.0,0.0,36.0,1.0,22299,128.0,64.0
0.0,0.0,0.0,0.0,i3-10105f,0.0,0.0,36.0,0.0,8499,0.0,0.0
350.0,0.0,0.0,0.0,0,0.0,0.0,36.0,1.0,5899,128.0,0.0
0.0,0.0,0.0,0.0,i5-12400f,0.0,0.0,36.0,0.0,14699,0.0,0.0
0.0,0.0,45.8,0.0,i7 10700,2.0,0.0,12.0,0.0,25499,128.0,0.0
0.0,0.0,41.6,0.0,i3-10105f,2.0,0.0,12.0,0.0,6399,128.0,0.0
300.0,0.0,76.8,0.0,i5-12400,2.0,0.0,12.0,1.0,15299,128.0,0.0
0.0,0.0,76.8,0.0,i5-12400f,2.0,0.0,12.0,0.0,14799,128.0,0.0
350.0,0.0,41.6,0.0,i3-10105-3.7ghz-box,2.0,0.0,12.0,1.0,9799,128.0,64.0
300.0,0.0,76.8,0.0,i3-12100,2.0,0.0,12.0,1.0,10999,128.0,0.0
0.0,0.0,0.0,0.0,i3-12100,0.0,0.0,0.0,0.0,0,0.0,0.0
300.0,0.0,76.8,0.0,i5-12500,2.0,1.0,12.0,1.0,17699,128.0,0.0
350.0,0.0,50.0,0.0,процессор,2.0,0.0,12.0,1.0,28999,128.0,64.0
0.0,0.0,50.0,0.0,процессор,2.0,0.0,12.0,0.0,27999,128.0,0.0
300.0,0.0,76.8,0.0,i7 12700,2.0,1.0,12.0,1.0,34999,128.0,0.0
