link,Рейтинг,Количество отзывов,Название,Цена,Бренд,Максимальный объем памяти,Тип памяти,Поддержка частот памяти,Количество каналов памяти,Пропускная способность памяти,Поддержка памяти ECC,Версия PCI Express,Количество каналов PCI Express,Конфигурация PCI Express,Встроенное графическое ядро,Вес упаковки (ед),Гарантия,Модель графического ядра,Частота графического ядра,Габариты упаковки (ед) ДхШхВ,Максимальный объем видеопамяти,Поддержка WiDi,Особенности
https://www.citilink.ru/product/processor-amd-s-ryzen-3-4100-am4-100-100000510box-3-8ghz-box-1804671/,Код товара: 1804671,,"Процессор AMD Ryzen 3 4100, SocketAM4, BOX [100-100000510box]",6 190,AMD,128 ГБ,DDR4,3200 МГц,2,,не поддерживается,PCI Express 3.0,20,,отсутствует,0.482 кг,12 мес.,,,0.131x0.071x0.134 м,,,
https://www.citilink.ru/product/processor-amd-s-ryzen-7-7700x-socketam5-100-100000591wof-4-5ghz-box-1869662/,5,1,"Процессор AMD Ryzen 7 7700X, SocketAM5, BOX (без кулера) [100-100000591wof]",33 990₽,AMD,128 ГБ,DDR5,5200/3600 МГц,2,,поддерживается,PCI Express 5.0,24,,есть,0.125 кг,12 мес.,AMD Radeon,,,,,
https://www.citilink.ru/product/processor-intel-s-core-i7-13700f-soc-1700-2-1ghz-oem-1901398/,Код товара: 1901398,,"Процессор Intel Core i7 13700F, LGA 1700, OEM",38 990₽,INTEL,128 ГБ,DDR5/ DDR4,DDR5 5600 МГц DDR4 3200 МГц,2,89.6 GB/s,не поддерживается,PCI Express 5.0,20,"1x16+4, 2x8+4",отсутствует,0.049 кг,12 мес.,,,0.045x0.038x0.004 м,,,
https://www.citilink.ru/product/processor-intel-s-core-i5-13500-soc-1700-2-5ghz-iuhdg770-oem-1927639/,Код товара: 1927639,,"Процессор Intel Core i5 13500, LGA 1700, OEM",26 290₽,INTEL,128 ГБ,DDR5/ DDR4,DDR5 4800 МГц DDR4 3200 МГц,2,76.8 GB/s,поддерживается,PCI Express 5.0,20,"1x16+4, 2x8+4",есть,0.053 кг,12 мес.,Intel UHD Graphics 770,300 МГц и 1550 МГц Turbo,0.04x0.03x0.005 м,32 ГБ,,
https://www.citilink.ru/product/processor-amd-s-ryzen-5-4300g-am4-100-100000144box-3-8ghz-amd-radeon-b-1927320/,Код товара: 1927320,,"Процессор AMD Ryzen 3 4300G, SocketAM4, BOX [100-100000144box]",8 990₽,AMD,,DDR4,3200 МГц,2,,не поддерживается,PCI Express 3.0,,,есть,0.25 кг,12 мес.,AMD Radeon,,,,,
https://www.citilink.ru/product/processor-amd-s-a10-8770-pro-am4-ad877bagm44ab-3-5ghz-100mhz-r7-oem-1781437/,Код товара: 1781437,,"Процессор AMD A10 8770 PRO, SocketAM4, OEM [ad877bagm44ab]",5 190₽,AMD,,DDR4,2400 МГц,2,38.4 GB/s,не поддерживается,PCI Express 3.0,,,есть,0.058 кг,12 мес.,AMD Radeon R7,1029 МГц,,,,
https://www.citilink.ru/product/processor-amd-s-ryzen-9-7900x-am5-100-100000589wof-4-7ghz-box-1869666/,5,1,"Процессор AMD Ryzen 9 7900X, SocketAM5, BOX (без кулера) [100-100000589wof]",40 990₽,AMD,128 ГБ,DDR5,5200/3600 МГц,2,,поддерживается,PCI Express 5.0,24,,есть,0.5 кг,12 мес.,AMD Radeon,,,,,
https://www.citilink.ru/product/processor-amd-ryzen-5-4600g-am4-100-100000147box-3-7ghz-amd-radeon-box-1795751/,5,2,"Процессор AMD Ryzen 5 4600G, SocketAM4, BOX [100-100000147box]",11 990₽,AMD,128 ГБ,DDR4,3200 МГц,2,,не поддерживается,PCI Express 3.0,20,,есть,0.22 кг,12 мес.,AMD Radeon,1900 МГц,,,,
https://www.citilink.ru/product/processor-amd-s-ryzen-5-3500-am4-100-000000050-3-6ghz-oem-1857947/,Код товара: 1857947,,"Процессор AMD Ryzen 5 3500, SocketAM4, OEM [100-000000050]",8 190₽,AMD,128 ГБ,DDR4,3200 МГц,2,,не поддерживается,PCI Express 4.0,16,,отсутствует,0.1 кг,12 мес.,,,,,,
https://www.citilink.ru/product/processor-amd-s-ryzen-5-1600-am4-yd1600bbm6iae-3-2ghz-oem-1804876/,Код товара: 1804876,,"Процессор AMD Ryzen 5 1600, SocketAM4, OEM [yd1600bbm6iae]",8 390₽,AMD,,DDR4,2667 МГц,2,,не поддерживается,,,,отсутствует,,12 мес.,,,,,,
