link,Рейтинг,Количество отзывов,Название,Цена,Бренд,Поддержка,Поддержка технологий NVIDIA,Поддержка трассировки лучей,Поддержка DLSS,Разъемов,Версия разъема,Количество разъемов,Количество поддерживаемых мониторов,Разъемы дополнительного,Максимальное,Рекомендуемая мощность блока,Система,Использование тепловых,Lite Hash Rate,Тип,Длина,Конструкция системы,Высота видеокарты,Габариты упаковки (ед) ДхШхВ,Вес упаковки (ед),Гарантия,OverClock,Разъемы,Толщина видеокарты,Особенности,Количество разъемов D-SUB,Низкопрофильная видеокарта (Low,Разъем DVI,Разъемов USB (Type-C),Низкопрофильная планка,Технология объединения,Количество разъемов Mini
https://www.citilink.ru/product/videokarta-gigabyte-pci-e-4-0-gv-n4080gaming-16gd-nv-rtx4080-16384mb-2-1893342/,Код товара: 1893342,,"Видеокарта GIGABYTE NVIDIA GeForce RTX 4080 GV-N4080GAMING-16GD 16ГБ Gaming, GDDR6X, Ret",134 070,GIGABYTE,DirectX 12 Ultimate/OpenGL 4.6,"NVIDIA DLSS, NVIDIA Reflex, NVIDIA STUDIO, NVIDIA Ray Tracing, NVIDIA G-Sync, NVIDIA Broadcast, NVIDIA Game Ready, NVIDIA Shadow Play, NVIDIA Ansel, NVIDIA Freestyle, NVIDIA NVENC, NVIDIA VR Works, NVIDIA CUDA",есть,есть,1,1.4a,3,4,16 pin,,850 Вт,активное,есть,,retail,342 мм,четырехслотовая,,0.47x0.12x0.28 м,3.36 кг,36 мес.,,,,,,,,,,,
https://www.citilink.ru/product/videokarta-palit-pci-e-4-0-rtx4060ti-dual-nv-geforce-rtx-4060ti-8192mb-1925039/,Код товара: 1925039,,"Видеокарта Palit NVIDIA GeForce RTX 4060TI RTX4060TI DUAL 8ГБ GDDR6, Ret [ne6406t019p1-1060d]",46 720₽,PALIT,DirectX 12 Ultimate/OpenGL 4.6,"NVIDIA DLSS, NVIDIA Reflex, NVIDIA STUDIO, NVIDIA Ray Tracing, NVIDIA G-Sync, NVIDIA Broadcast, NVIDIA Game Ready, NVIDIA Shadow Play, NVIDIA Ansel, NVIDIA Freestyle, NVIDIA NVENC, NVIDIA VR Works, NVIDIA CUDA",есть,есть,1,1.4a,3,4,8 pin,160 Вт,650 Вт,активное,есть,,retail,249.9 мм,двухслотовая,,0.345x0.22x0.07 м,1.1 кг,36 мес.,,,40.1 мм,,,,,,,,
https://www.citilink.ru/product/videokarta-gigabyte-pci-e-4-0-gv-n3060gaming-8gd-nv-rtx3060-8192mb-128-1918038/,,,‌,46 720₽,GIGABYTE,DirectX 12 Ultimate/OpenGL 4.6,"NVIDIA DLSS, NVIDIA Reflex, NVIDIA STUDIO, NVIDIA Ray Tracing, NVIDIA G-Sync, NVIDIA Broadcast, NVIDIA Game Ready, NVIDIA Shadow Play, NVIDIA Ansel, NVIDIA Freestyle, NVIDIA NVENC, NVIDIA VR Works, NVIDIA CUDA",есть,есть,2,1.4a,2,4,8 pin,,550 Вт,активное,есть,,retail,198 мм,двухслотовая,,0.295x0.21x0.05 м,0.901 кг,36 мес.,,,,,,,,,,,
https://www.citilink.ru/product/videokarta-gigabyte-pci-e-4-0-gv-r76gaming-oc-8gd-amd-radeon-rx-7600-8-1930100/,,,‌,38 330,GIGABYTE,DirectX 12 Ultimate/OpenGL 4.6,,есть,,2,1.4a,2,4,8 pin,165 Вт,550 Вт,активное,есть,,retail,282 мм,двухслотовая,,0.41x0.09x0.24 м,1.56 кг,36 мес.,да,,50 мм,,,,,,,,
https://www.citilink.ru/product/videokarta-asus-pci-e-4-0-tuf-rtx4070-o12g-gaming-nv-rtx4070-12288mb-1-1918386/,Код товара: 1918386,,"Видеокарта ASUS NVIDIA GeForce RTX 4070 TUF-RTX4070-O12G-GAMING 12ГБ GDDR6X, OC, Ret",81 280,ASUS,DirectX 12 Ultimate/OpenGL 4.6,"NVIDIA DLSS, NVIDIA Reflex, NVIDIA STUDIO, NVIDIA Ray Tracing, NVIDIA G-Sync, NVIDIA Broadcast, NVIDIA Game Ready, NVIDIA Shadow Play, NVIDIA Ansel, NVIDIA Freestyle, NVIDIA NVENC, NVIDIA VR Works, NVIDIA CUDA",есть,есть,1,1.4a,3,4,8 pin,,650 Вт,активное,есть,,retail,301 мм,трехслотовая,,0.42x0.225x0.09 м,2.183 кг,36 мес.,да,,,,,,,,,,
https://www.citilink.ru/product/videokarta-asus-pci-e-dual-gtx1650-o4gd6-p-v2-nv-gtx1650-4096mb-128-gd-1903954/,Код товара: 1903954,,"Видеокарта ASUS NVIDIA GeForce GTX 1650 DUAL-GTX1650-O4GD6-P-V2 4ГБ GDDR6, OC, Ret",19 900₽,,DirectX 12/OpenGL 4.6,,,,1,1.4a,1,3,6 pin,,300 Вт,активное,есть,,retail,212 мм,двухслотовая,,0.31x0.22x0.06 м,0.854 кг,36 мес.,да,1,,,,,,,отсутствует,,
https://www.citilink.ru/product/videokarta-msi-pci-e-4-0-rtx-3060-ti-twin-fan-8g-lhr-nv-rtx3060ti-8192-1848907/,,,‌,19 900₽,MSI,DirectX 12 Ultimate/OpenGL 4.6,"NVIDIA DLSS, NVIDIA Reflex, NVIDIA STUDIO, NVIDIA Ray Tracing, NVIDIA G-Sync, NVIDIA Broadcast, NVIDIA Game Ready, NVIDIA Shadow Play, NVIDIA Ansel, NVIDIA Freestyle, NVIDIA NVENC, NVIDIA VR Works, NVIDIA CUDA",есть,есть,1,1.4a,3,,8 pin,200 Вт,600 Вт,активное,есть,да,retail,230 мм,двухслотовая,,0.37x0.07x0.22 м,1.03 кг,36 мес.,,,,,,,,,,,
https://www.citilink.ru/product/videokarta-gigabyte-pci-e-4-0-gv-n4060eagle-oc-8gd-nv-geforce-rtx-4060-1939125/,Код товара: 1939125,,"Видеокарта GIGABYTE NVIDIA GeForce RTX 4060 GV-N4060EAGLE OC-8GD 8ГБ Eagle, GDDR6, OC, Ret",40 840₽,GIGABYTE,DirectX 12 Ultimate/OpenGL 4.6,"NVIDIA DLSS, NVIDIA Reflex, NVIDIA STUDIO, NVIDIA Ray Tracing, NVIDIA G-Sync, NVIDIA Broadcast, NVIDIA Game Ready, NVIDIA Shadow Play, NVIDIA Ansel, NVIDIA Freestyle, NVIDIA NVENC, NVIDIA VR Works, NVIDIA CUDA",есть,есть,2,1.4a,2,4,8 pin,115 Вт,450 Вт,активное (радиатор и три вентилятора),есть,,retail,272 мм,двухслотовая,,0.365x0.185x0.08 м,1.089 кг,36 мес.,да,,40 мм,,,,,,,,
https://www.citilink.ru/product/videokarta-gigabyte-pci-e-4-0-gv-n407teagle-oc-12gd-2-0-nv-rtx4070ti-1-1926557/,Код товара: 1926557,,"Видеокарта GIGABYTE NVIDIA GeForce RTX 4070TI GV-N407TEAGLE OC-12GD 2.0 12ГБ Eagle, GDDR6X, OC, Ret",94 260,GIGABYTE,DirectX 12 Ultimate/OpenGL 4.6,"NVIDIA DLSS, NVIDIA Reflex, NVIDIA STUDIO, NVIDIA Ray Tracing, NVIDIA G-Sync, NVIDIA Broadcast, NVIDIA Game Ready, NVIDIA Shadow Play, NVIDIA Ansel, NVIDIA Freestyle, NVIDIA NVENC, NVIDIA VR Works, NVIDIA CUDA",есть,есть,1,1.4a,3,4,16 pin,,750 Вт,активное,есть,,retail,261 мм,трехслотовая,,0.33x0.22x0.08 м,1.76 кг,36 мес.,да,,,,,,,,,,
https://www.citilink.ru/product/videokarta-powercolor-pci-e-4-0-axrx-6700xt-12gbd6-3dhl-amd-rx6700xt-1-1521238/,Код товара: 1521238,,"Видеокарта PowerColor AMD Radeon RX 6700XT AXRX 6700XT 12GBD6-3DHL 12ГБ GDDR6, Ret",48 180₽,POWERCOLOR,DirectX 12/OpenGL 4.6,,есть,,1,1.4,3,4,8+8 pin,,650 Вт,активное,есть,,retail,305 мм,трехслотовая,135 мм,0.4x0.22x0.12 м,2.04 кг,24 мес.,,,50 мм,,,,,,,,
https://www.citilink.ru/product/videokarta-msi-pci-e-4-0-rtx-4070-ventus-2x-12g-oc-nv-rtx4070-12288mb-1930552/,Код товара: 1930552,,"Видеокарта MSI NVIDIA GeForce RTX 4070 RTX 4070 VENTUS 2X 12G OC 12ГБ Ventus 2X, GDDR6X, OC, Ret",71 220,MSI,DirectX 12 Ultimate/OpenGL 4.6,"NVIDIA DLSS, NVIDIA Reflex, NVIDIA STUDIO, NVIDIA Ray Tracing, NVIDIA G-Sync, NVIDIA Broadcast, NVIDIA Game Ready, NVIDIA Shadow Play, NVIDIA Ansel, NVIDIA Freestyle, NVIDIA NVENC, NVIDIA VR Works, NVIDIA CUDA",есть,есть,1,1.4a,3,4,8 pin,200 Вт,650 Вт,активное,есть,,retail,242 мм,двухслотовая,,0.32x0.205x0.08 м,1.067 кг,36 мес.,да,,43 мм,,,,,,,,
https://www.citilink.ru/product/videokarta-gigabyte-pci-e-4-0-gv-n407twf3oc-12gd-nv-rtx4070ti-12288mb-1924687/,Код товара: 1924687,,"Видеокарта GIGABYTE NVIDIA GeForce RTX 4070TI GV-N407TWF3OC-12GD 12ГБ Windforce, GDDR6X, OC, Ret",93 220,GIGABYTE,DirectX 12 Ultimate/OpenGL 4.6,"NVIDIA DLSS, NVIDIA Reflex, NVIDIA STUDIO, NVIDIA Ray Tracing, NVIDIA G-Sync, NVIDIA Broadcast, NVIDIA Game Ready, NVIDIA Shadow Play, NVIDIA Ansel, NVIDIA Freestyle, NVIDIA NVENC, NVIDIA VR Works, NVIDIA CUDA",есть,есть,1,1.4a,3,4,16 pin,,750 Вт,активное,есть,,retail,261 мм,трехслотовая,,0.35x0.08x0.22 м,1.551 кг,36 мес.,да,,50 мм,,,,,,,,
