Название,Время отклика,Порты USB 3.1 (Type-C),Графический,Тип матрицы,Веб-камера,Диагональ экрана,Гарантия,Рейтинг,Порты USB 3.0 (Type-C),Количество ядер,Процессор,Количество отзывов,Подсветка клавиш,Выходная мощность адаптера питания,Емкость,Сенсорный,Максимальное число потоков,Соотношение сторон,Тип вилки,Яркость,Количество ячеек,Частота обновления,Операционная система,Объем оперативной памяти,Вес,Цена,Для геймеров,Количество высокопроизводительных ядер,Порты USB 3.2 (Type-C),Количество слотов оперативной
ноутбук tecno megabook t1,0.0,0.0,0,5,0,0,0.0,5.0,0.0,0.0,0,13.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,38990.0,0.0,0.0,0.0,0.0
ноутбук игровой msi bravo 15 b5dd-415xru,0.0,0.0,0,5,0,0,0.0,4.8,0.0,0.0,0,7.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,80990.0,0.0,0.0,0.0,0.0
ноутбук игровой msi sword 17 a11uc-811xru,0.0,0.0,0,5,0,0,0.0,5.0,0.0,0.0,0,8.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,79990.0,0.0,0.0,0.0,0.0
ноутбук xiaomi redmibook pro,0.0,0.0,0,5,0,0,0.0,4.0,0.0,0.0,0,19.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,81990.0,0.0,0.0,0.0,0.0
ноутбук игровой lenovo ip gaming 3 16arh7,0.0,1.0,0,5,1,0,12.0,5.0,0.0,6.0,0,10.0,1.0,0,0.0,0.0,12.0,0,0,0.0,0.0,0.0,10,0.0,2.5,74990.0,1.0,6.0,0.0,0.0
ноутбук asus vivobook 16x m1603qa-mb253,0.0,0.0,0,5,0,0,0.0,0.0,0.0,0.0,0,10.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,69530.0,0.0,0.0,0.0,0.0
ноутбук digma eve 15 c423,0.0,0.0,0,5,0,0,0.0,4.8,0.0,0.0,0,15.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,34700.0,0.0,0.0,0.0,0.0
ноутбук игровой adata xpg xenia 16rx,0.0,0.0,0,5,0,0,0.0,5.0,0.0,0.0,0,16.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,125990.0,0.0,0.0,0.0,0.0
ноутбук игровой msi pulse gl66 12uek-220ru,0.0,0.0,32,2,1,13,12.0,4.9,1.0,14.0,77,12.0,1.0,0,0.0,0.0,20.0,2,0,0.0,3.0,144.0,9,16.0,2.25,115990.0,1.0,6.0,0.0,2.0
ноутбук huawei matebook d 14 nbd-wdh9,0.0,0.0,0,5,0,0,0.0,5.0,0.0,0.0,0,16.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,61990.0,0.0,0.0,0.0,0.0
ноутбук lenovo v15 g2 alc,0.0,0.0,0,5,0,0,0.0,0.0,0.0,0.0,0,3.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,42990.0,0.0,0.0,0.0,0.0
ноутбук digma pro fortis m,0.0,0.0,0,5,0,0,0.0,4.3,0.0,0.0,0,10.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,43100.0,0.0,0.0,0.0,0.0
ноутбук игровой msi gf63 12hw-005xru,0.0,0.0,55,2,1,13,12.0,4.7,1.0,12.0,46,7.0,1.0,0,0.0,0.0,16.0,2,0,0.0,3.0,144.0,4,16.0,1.86,71990.0,1.0,4.0,0.0,0.0
ноутбук игровой msi sword 17 a11ud-810xru,0.0,0.0,0,5,0,0,12.0,5.0,0.0,0.0,0,11.0,1.0,0,0.0,0.0,0.0,0,0,0.0,3.0,0.0,0,0.0,2.6,90290.0,0.0,0.0,0.0,0.0
ноутбук hiper workbook n15rp,0.0,0.0,0,5,0,0,0.0,4.2,0.0,0.0,0,13.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,54990.0,0.0,0.0,0.0,0.0
ноутбук игровой msi gf63 12hw-006xru,0.0,0.0,0,5,1,0,12.0,5.0,1.0,12.0,46,7.0,1.0,0,0.0,0.0,16.0,0,0,0.0,3.0,0.0,4,0.0,1.86,64990.0,1.0,4.0,0.0,0.0
ноутбук lenovo v15 g2 alc,0.0,0.0,3,8,1,13,12.0,3.0,1.0,6.0,125,15.0,1.0,0,0.0,0.0,12.0,2,0,250.0,0.0,60.0,10,8.0,1.7,46990.0,0.0,6.0,0.0,1.0
ноутбук digma pro fortis m,0.0,0.0,0,5,0,0,0.0,4.8,0.0,0.0,0,9.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,45300.0,0.0,0.0,0.0,0.0
ноутбук iru калибр 15clg1,0.0,0.0,0,5,0,0,0.0,5.0,0.0,0.0,0,9.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,42500.0,0.0,0.0,0.0,0.0
ноутбук digma pro fortis m,0.0,0.0,0,5,0,0,0.0,4.8,0.0,0.0,0,16.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,44700.0,0.0,0.0,0.0,0.0
ноутбук huawei matebook d 15 bod-wdi9,0.0,0.0,64,2,1,13,12.0,5.0,0.0,2.0,25,12.0,1.0,0,0.0,0.0,4.0,2,0,250.0,4.0,0.0,10,8.0,1.56,41990.0,0.0,2.0,0.0,0.0
ноутбук игровой msi gf63 thin 11ud-223xru,0.0,0.0,0,5,0,0,0.0,5.0,0.0,0.0,0,1.0,0.0,0,0.0,0.0,0.0,0,0,0.0,3.0,0.0,0,0.0,1.86,75990.0,0.0,0.0,0.0,0.0
