Название,Цена,Количество отзывов,Гарантия,Рейтинг,Длина,Количество поддерживаемых мониторов,OverClock,Рекомендуемая мощность блока
 210 gv-n210sl-1gi,2990,2.0,36.0,2.2,167.0,0.0,0.0,300.0
 gt 730 gv-n730d3-2gi,6990,18.0,36.0,4.9,167.0,0.0,0.0,300.0
 gtx 1070 mini itx oc 8g,28699,9.0,36.0,3.3,169.0,0.0,0.0,500.0
 gtx 1060 mini itx oc 6g,23590,5.0,36.0,3.7,169.0,0.0,0.0,400.0
 gtx 1060 windforce oc 3g ,20690,11.0,36.0,4.2,223.0,0.0,0.0,400.0
 gtx 1060 mini itx oc 3g ,18790,13.0,36.0,5.0,169.0,0.0,0.0,400.0
 ge force gtx 1070 gaming x 8g,45990,10.0,36.0,2.8,279.0,0.0,0.0,500.0
 gtx 1070 armor,33299,9.0,36.0,4.3,279.0,0.0,0.0,500.0
 gtx 1060 gaming x 6g,27990,0.0,36.0,0.0,277.0,0.0,0.0,400.0
 gtx 1060 3gt oc,16690,0.0,36.0,0.0,243.0,0.0,0.0,400.0
 gtx 1060 armor 3g ocv1,17299,0.0,36.0,0.0,275.0,0.0,0.0,400.0
 gtx 1060 6gt ocv1,27790,0.0,36.0,0.0,243.0,0.0,0.0,400.0
 gt 730 1gb gddr5 ,3390,0.0,36.0,0.0,160.0,0.0,0.0,300.0
 gtx1080 gamerock premium ,46990,0.0,36.0,0.0,285.0,0.0,0.0,500.0
 gtx1070 gamerock ,33690,0.0,36.0,0.0,285.0,0.0,0.0,500.0
 gtx1070 jetstream ,32599,0.0,36.0,0.0,285.0,0.0,0.0,500.0
 gtx1060 super jetstream ,24999,0.0,36.0,0.0,248.0,0.0,0.0,400.0
 gtx1070 dual 8g ,27999,0.0,36.0,0.0,252.0,0.0,0.0,500.0
gtx1060 jetstream 6g ,28890,0.0,36.0,0.0,248.0,0.0,0.0,400.0
 gtx1060 dual 3g,16790,0.0,36.0,0.0,252.0,0.0,0.0,400.0
gtx1060 stormx 3g ,20990,0.0,36.0,0.0,252.0,0.0,0.0,400.0
 gtx1080 jetstream ,43990,0.0,36.0,0.0,285.0,0.0,0.0,500.0
 gtx1050 stromx 2g ,8390,0.0,36.0,0.0,166.0,0.0,0.0,300.0
 gtx 1050 ti windforce oc 4g ,17490,0.0,36.0,0.0,229.0,0.0,0.0,300.0
gtx1060 stormx 6g ,25690,0.0,36.0,0.0,252.0,0.0,0.0,400.0
gtx1050ti dual oc 4g ,13690,0.0,36.0,0.0,220.0,0.0,0.0,300.0
 gtx 1050 windforce oc 2g ,11590,0.0,36.0,0.0,229.0,0.0,0.0,300.0
 gtx 1060 g1 gaming 6g ,26890,0.0,36.0,0.0,278.0,0.0,0.0,400.0
 gt730 2g ,3690,0.0,36.0,0.0,160.0,0.0,0.0,300.0
 gtx 1050 oc low profile 2g ,8990,0.0,36.0,0.0,167.0,0.0,0.0,0.0
 gtx 1070 aero itx 8g oc,30290,0.0,36.0,0.0,175.0,0.0,0.0,500.0
 gtx 1080 ti armor 11g oc,56490,0.0,36.0,0.0,290.0,0.0,0.0,600.0
 gv-n710sl-1gl,3790,0.0,36.0,0.0,151.0,0.0,0.0,300.0
 gt 1030 2gh lp oc,6790,0.0,36.0,0.0,153.0,0.0,0.0,300.0
 gtx 1060 aero itx 6g oc,21690,0.0,36.0,0.0,175.0,0.0,0.0,400.0
 gtx 1050 oc 2g ,8990,0.0,36.0,0.0,191.0,0.0,0.0,300.0
 gtx 1050 d5 2g ,10990,0.0,36.0,0.0,172.0,0.0,0.0,300.0
видеокарта asus dual-gtx1060-o6g,27790,0.0,36.0,0.0,242.0,0.0,0.0,400.0
 gtx 1070 8gb oc dual ,33299,0.0,36.0,0.0,240.0,0.0,0.0,500.0
 gt730 2gb gddr3 v2 ,4490,0.0,36.0,0.0,163.0,0.0,0.0,0.0
 gt730 2gb gddr3 ,4590,0.0,36.0,0.0,163.0,0.0,0.0,0.0
 gt730 2gb gddr5 ,5490,0.0,36.0,0.0,145.0,0.0,0.0,0.0
 gt730 2gb gddr3 silent ,4290,0.0,36.0,0.0,137.0,0.0,0.0,0.0
 gtx 1070 8gb gddr5 ,35199,0.0,36.0,0.0,298.0,0.0,0.0,0.0
 gtx 1050 g1 gaming 2gb,12490,0.0,36.0,0.0,219.0,4.0,0.0,300.0
 gtx 750ti 1gb gddr5 oc ,6990,0.0,36.0,0.0,123.0,0.0,0.0,400.0
 gtx 750ti 4gb gddr5 oc windforce ,8990,0.0,36.0,0.0,184.0,0.0,0.0,400.0
видеокарта gigabyte radeon r7 360 2gb gddr5 oc ,7490,0.0,36.0,0.0,146.0,0.0,0.0,500.0
видеокарта gigabyte radeon rx550 2gb gddr5,7490,0.0,36.0,0.0,170.0,0.0,0.0,400.0
 gtx 1070 ti dual ,34199,0.0,36.0,0.0,252.0,0.0,0.0,500.0
 gtx 1070 ti oc gaming 8g ,37990,0.0,36.0,0.0,280.0,4.0,0.0,500.0
 gt 1030 low profile 2g ,5990,0.0,36.0,0.0,150.0,0.0,0.0,300.0
 gtx 1050 ti gaming 4g ,12890,0.0,36.0,0.0,219.0,0.0,0.0,300.0
видеокарта gigabyte radeon rx 570 gaming 4g,15190,0.0,36.0,0.0,232.0,0.0,0.0,450.0
 gtx 1050 2g oc,8790,0.0,36.0,0.0,177.0,0.0,0.0,300.0
 gtx 1050 ti gaming x 4g,13699,0.0,36.0,0.0,229.0,0.0,0.0,300.0
 gtx 1050 ti gaming x 4g,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 radeon rx 550 aero itx 2g oc,7890,0.0,36.0,0.0,155.0,0.0,0.0,400.0
 radeon rx 560 aero itx 4g oc,8890,0.0,36.0,0.0,155.0,0.0,0.0,400.0
 radeon rx 580 armor 8g oc,21899,0.0,36.0,0.0,269.0,0.0,0.0,500.0
видеокарта sapphire radeon r5 230 1g ,2590,0.0,36.0,0.0,146.0,0.0,0.0,400.0
видеокарта sapphire radeon r5 230 2g ,3890,0.0,36.0,0.0,190.0,0.0,0.0,400.0
видеокарта sapphire nitro+ radeon rx 580 4g ,31290,0.0,36.0,0.0,260.0,0.0,0.0,500.0
видеокарта sapphire nitro+ radeon rx 570 8g ,22599,0.0,36.0,0.0,260.0,0.0,0.0,500.0
видеокарта sapphire pulse radeon rx 550 2g ,7299,0.0,36.0,0.0,0.0,0.0,0.0,400.0
 gt 730 1gb gddr5 lp,4490,0.0,24.0,0.0,144.0,0.0,0.0,300.0
 gt 730 1gb gddr5 lp,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 gtx 1050 ti 4gb oc edition,11290,0.0,36.0,0.0,203.0,0.0,0.0,400.0
видеокарта asus ex-rx570-o4g,21490,0.0,36.0,0.0,240.0,0.0,0.0,450.0
 gtx 1060 rog strix 6gb gaming,28899,0.0,36.0,0.0,298.0,0.0,0.0,400.0
 gtx 1060 3gb gaming x,22690,0.0,36.0,0.0,277.0,0.0,0.0,400.0
 rx 570 armor 8g oc,14390,0.0,36.0,0.0,246.0,0.0,0.0,450.0
 gtx 1070 ti 8gb armor,34990,0.0,36.0,0.0,279.0,0.0,0.0,500.0
видеокарта asus ph-rx550-4g-m7,8990,0.0,36.0,0.0,192.0,0.0,0.0,400.0
 rtx 2080 gaming oc 8g ,62299,0.0,36.0,0.0,287.0,0.0,0.0,650.0
 rtx 2080 windforce oc 8g ,67490,0.0,36.0,0.0,280.0,0.0,0.0,650.0
 rtx 2080 ti gaming oc 11g ,103990,0.0,36.0,0.0,287.0,0.0,0.0,650.0
 rtx 2080 ti windforce oc 11g ,99990,0.0,36.0,0.0,280.0,0.0,0.0,650.0
 r7 240 2gd3 64b lp,2990,0.0,36.0,0.0,69.0,0.0,0.0,300.0
 gtx 1650 aero itx 4g oc,13590,0.0,36.0,0.0,111.0,0.0,0.0,300.0
 gtx 1650 4gt lp oc,12399,0.0,36.0,0.0,105.0,0.0,0.0,300.0
 gtx 1660 dual oc 6g ,18390,0.0,36.0,0.0,115.0,0.0,0.0,450.0
 gtx 1660 ti aero itx 6g oc,22590,0.0,36.0,0.0,178.0,0.0,0.0,450.0
 gtx 1650 super aero itx oc,16690,0.0,36.0,0.0,172.0,3.0,0.0,350.0
 gtx 1650 super ventus xs oc,18890,0.0,36.0,0.0,180.0,3.0,0.0,350.0
 gtx 1650 d6 gaming x,13690,0.0,36.0,0.0,245.0,3.0,0.0,300.0
видеокарта gigabyte gv-n1650ixoc-4gd,11890,0.0,36.0,0.0,152.0,3.0,0.0,300.0
видеокарта gigabyte gv-n1660ixoc-6gd,20390,0.0,36.0,0.0,170.0,4.0,0.0,450.0
видеокарта gigabyte gv-n166sixoc-6gd,19390,0.0,36.0,0.0,170.0,4.0,0.0,450.0
видеокарта gigabyte gv-n1656oc-4gd,12490,0.0,36.0,0.0,153.0,3.0,0.0,300.0
видеокарта gigabyte gv-n1656eagle oc-4gd,14590,0.0,36.0,0.0,212.0,3.0,0.0,300.0
gtx1660 stormx oc 6g,17190,0.0,36.0,0.0,168.0,0.0,0.0,450.0
видеокарта palit gtx1650 super stormx 4g,13590,0.0,36.0,0.0,168.0,0.0,0.0,350.0
видеокарта asrock radeon rx 6800 xt phantom gaming d 16g oc,127990,0.0,36.0,0.0,330.0,4.0,0.0,800.0
 rtx 3060 dual 12g ,34899,0.0,36.0,0.0,119.0,4.0,0.0,550.0
видеокарта sapphire radeon rx 6700 xt,111199,0.0,36.0,0.0,266.0,0.0,0.0,650.0
видеокарта gigabyte radeon rx 6700 xt eagle 12g,95990,0.0,36.0,0.0,282.0,0.0,0.0,650.0
 rtx 2060 super gamerock 8g,68990,0.0,36.0,0.0,292.0,0.0,0.0,0.0
 radeon rx 5500 xt gaming x 8g,0,0.0,36.0,0.0,247.0,0.0,0.0,450.0
rtx2060 dual oc 6g ,62990,0.0,36.0,0.0,235.0,3.0,0.0,0.0
 rtx 3080 gaming z trio 10g,149999,0.0,36.0,0.0,323.0,0.0,0.0,750.0
видеокарта sapphire pulse amd radeon rx6800 gaming oc 16gb ,139990,0.0,36.0,0.0,300.0,0.0,0.0,650.0
 rtx3060 gaming oc-12gd 2.0 ,34999,0.0,12.0,0.0,282.0,0.0,0.0,550.0
 rtx3060 gaming oc-12gd 2.0 ,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 rtx 3060 v2 oc edition ,79999,0.0,36.0,0.0,200.0,0.0,0.0,650.0
видеокарта gigabyte pcie16 rtx3080 lhr 10gb ,72999,0.0,36.0,0.0,320.0,0.0,0.0,750.0
видеокарта gigabyte rtx3070 gaming 8gb lhr pcie16 ,49999,0.0,36.0,0.0,286.0,4.0,0.0,650.0
видеокарта kfa2 pcie16 rtx3080ti hof 12gb,196999,0.0,36.0,0.0,339.0,0.0,0.0,0.0
gtx1660ti dual oc 6gb ,0,0.0,36.0,0.0,235.0,0.0,0.0,450.0
 rtx 3080 gaming z trio 12g lhr ,72999,0.0,36.0,0.0,323.0,0.0,0.0,750.0
видеокарта sapphire radeon rx6600 8gb pulse ,26499,0.0,36.0,0.0,193.0,0.0,0.0,500.0
 pcie16 rtx2060 ventus oc ru 6gb,0,0.0,36.0,0.0,231.0,0.0,0.0,550.0
 radeon rx6700-xt-mech-2x,56999,0.0,12.0,0.0,247.0,4.0,0.0,650.0
 rtx 4090 windforce 24gb ,159999,0.0,36.0,0.0,331.0,4.0,0.0,850.0
 rtx 4090 windforce 24gb ,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 gtx 1660 sc ultra gaming 6gb ,25999,0.0,12.0,0.0,202.0,3.0,0.0,500.0
 rtx 3060 ti gaming oc lhr rev 2.0 8gb ,36999,0.0,12.0,0.0,282.0,4.0,0.0,600.0
 rtx3070ti ichill x4 lhr 8gb ,62999,0.0,12.0,0.0,300.0,0.0,0.0,750.0
 rtx 3070 ti ventus 3x 8gb ,51999,0.0,12.0,0.0,305.0,4.0,0.0,750.0
 rtx 3080 ventus 3x plus oc lhr 10gb ,69999,0.0,12.0,0.0,305.0,4.0,0.0,750.0
 rtx 3080ti ventus 3x oc 12gb ,89999,0.0,12.0,0.0,305.0,4.0,0.0,750.0
 rtx 3080ti ventus 3x oc 12gb ,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 rtx 3090 gaming pro gddr6x 24gb ,109999,0.0,12.0,0.0,294.0,4.0,0.0,750.0
 rtx 3070 dual fan 8gb ,53999,0.0,12.0,0.0,265.0,4.0,0.0,650.0
 rtx 3070ti trinity oc gddr6x lhr 8gb ,63999,0.0,12.0,0.0,317.6,4.0,0.0,750.0
 rtx 2060 gaming amp gddr6 192bit 6gb ,29999,0.0,12.0,0.0,209.6,4.0,0.0,500.0
видеокарта pny nvidia quadro rtx 6000 ,289999,0.0,12.0,0.0,267.0,0.0,0.0,600.0
 rtx 3060 ventus 2x oc 12gb ,39990,0.0,12.0,0.0,235.0,4.0,0.0,550.0
 rtx 3050 dual oc 8gb ,37590,0.0,36.0,0.0,200.0,4.0,0.0,550.0
 rtx 3050 phoenix 8gb ,43590,0.0,36.0,0.0,177.0,4.0,0.0,550.0
 rtx 3050 stormx 8gb ,47190,0.0,36.0,0.0,170.0,0.0,0.0,550.0
