Название,Цена,Количество отзывов,Гарантия,Рейтинг,Длина,Количество поддерживаемых мониторов,OverClock,Рекомендуемая мощность блока
 rtx 3060 ph-rtx3060-12g-v2 lhr 12гб gddr6,33710.0,8.0,36.0,5.0,177.0,4.0,0.0,650.0
 rtx 3070 dual-rtx3070-o8g-v2 lhr 8гб gddr6,54460.0,7.0,36.0,5.0,267.0,4.0,1.0,750.0
 gtx 1650 gv-n1656oc-4gd 4гб gddr6,18330.0,13.0,36.0,4.6,172.0,3.0,1.0,300.0
 rtx 3070 gv-n3070eagle-8gd 2.0 lhr 8гб gddr6,52790.0,14.0,36.0,4.8,282.0,4.0,0.0,650.0
 gtx 1660super gtx 1660 super gaming x 6гб gddr6,30370.0,2.0,36.0,3.3,247.0,0.0,0.0,450.0
видеокарта gigabyte amd radeon rx 6600 gv-r66eagle-8gd 8гб gddr6,30370.0,14.0,36.0,3.4,282.0,4.0,0.0,500.0
‌,30370.0,8.0,36.0,3.4,336.0,4.0,0.0,850.0
 gtx 1660super gv-n166sd6-6gd 6гб gddr6,28280.0,12.0,36.0,5.0,225.65,4.0,0.0,450.0
 rtx 3070 pa-rtx3070 gamingpro oc 8g v1 lhr 8гб gddr6,58650.0,8.0,36.0,2.6,294.0,4.0,1.0,650.0
 rtx 3060ti rtx 3060 ti gaming x trio 8gd6x 8гб gddr6x,55190.0,7.0,36.0,4.3,323.0,4.0,0.0,600.0
 gt 1030 ph-gt1030-o2g 2гб gddr5,10060.0,10.0,36.0,4.3,184.0,2.0,0.0,300.0
 rx 6700xt axrx 6700xt 12gbd6-3dh 12гб gddr6,48810.0,12.0,24.0,2.7,228.0,4.0,0.0,650.0
 gtx 1650 gtx 1650 ventus xs 4g ocv1 4гб gddr5,18850.0,15.0,36.0,4.5,177.0,3.0,1.0,300.0
 rtx 3060ti dual-rtx3060ti-o8g-mini-v2 8гб gddr6,39760.0,18.0,36.0,4.3,200.0,4.0,1.0,750.0
 rtx 4070ti gv-n407taero oc-12gd 12гб aero,98450.0,2.0,36.0,4.8,336.0,4.0,1.0,750.0
видеокарта sapphire amd radeon rx 6600 11310-01-20g rx 6600 gaming 8гб gddr6,32050.0,5.0,12.0,4.8,193.0,0.0,0.0,0.0
 amd radeon rx 6750xt rx 6750 xt gaming x trio 12g 12гб gddr6,55990.0,11.0,36.0,2.9,327.0,0.0,0.0,650.0
 rtx 3050 rtx 3050 aero itx 8g oc 8гб gddr6,29330.0,14.0,36.0,2.0,172.0,4.0,1.0,550.0
 rtx 4090 pa-rtx4090 gamerock 24гб gddr6x,173870.0,5.0,36.0,4.0,329.4,4.0,0.0,1000.0
 rx 6400 dual-rx6400-4g 4гб gddr6,16760.0,15.0,36.0,4.2,201.0,0.0,0.0,500.0
 rtx 4080 pa-rtx4080 gamingpro oc 16гб gddr6x,118350.0,1.0,36.0,4.7,328.9,4.0,0.0,850.0
 rtx 4070ti rtx4070ti gamingpro oc 12гб gddr6x,96360.0,9.0,36.0,5.0,328.9,4.0,1.0,750.0
 rtx 4080 pa-rtx4080 gamingpro 16гб gddr6x,114170.0,7.0,36.0,4.1,328.9,4.0,0.0,850.0
 rtx 3060ti gv-n306twf2oc-8gd 8гб windforce,47770.0,12.0,36.0,3.4,198.0,4.0,1.0,600.0
 gtx 1660super gv-n166soc-6gd 6гб gddr6,29330.0,6.0,36.0,4.9,226.0,4.0,1.0,450.0
 rtx 4070ti rtx4070ti gamerock premium 12гб gddr6x,98450.0,8.0,36.0,4.3,328.9,0.0,0.0,0.0
 rtx 3060 dual-rtx3060-o8g-white 8гб gddr6,38550.0,5.0,36.0,4.1,200.0,0.0,1.0,650.0
 gt 730 gt730-sl-2gd5-brk 2гб gddr5,9210.0,4.0,36.0,2.9,165.0,2.0,0.0,300.0
 rtx 4080 gv-n4080eagle oc-16gd 16гб eagle,122540.0,12.0,36.0,4.4,342.0,4.0,1.0,850.0
 rtx 4080 gv-n4080aero-16gd 16гб aero,135110.0,0.0,36.0,0.0,342.0,4.0,0.0,850.0
‌,47130.0,0.0,36.0,0.0,295.0,4.0,0.0,650.0
 rtx 4070ti gv-n407taorus m-12gd 12гб aorus master,107880.0,0.0,36.0,0.0,342.0,4.0,0.0,750.0
 rtx 4070 pa-rtx4070 jetstream 12гб gddr6x,68600.0,0.0,36.0,0.0,328.9,4.0,0.0,750.0
 rtx 2060 gv-n2060d6-12gd 12гб gddr6,34560.0,0.0,36.0,0.0,224.0,4.0,0.0,550.0
видеокарта gigabyte amd radeon rx 6750xt gv-r675xtgaming oc-12gd 12гб gddr6,52370.0,0.0,36.0,0.0,281.0,0.0,1.0,650.0
 rtx 4070ti rtx 4070 ti suprim x 12g 12гб gddr6x,106310.0,0.0,36.0,0.0,338.0,4.0,0.0,750.0
 rtx 4080 gv-n4080aero oc-16gd 16гб aero,127360.0,0.0,36.0,0.0,342.0,4.0,1.0,850.0
видеокарта gigabyte amd radeon rx 6700xt gv-r67xteagle-12gd 12гб gddr6,46090.0,0.0,36.0,0.0,282.0,4.0,0.0,650.0
 rx 6750xt axrx 6750xt 12gbd6-3dhe/oc 12гб red devil,51320.0,0.0,24.0,0.0,320.0,0.0,1.0,700.0
 gtx 1050ti ph-gtx1050ti-4g 4гб gddr5,18230.0,0.0,36.0,0.0,192.0,3.0,0.0,300.0
видеокарта gigabyte amd radeon rx 6400 gv-r64d6-4gl 4гб gddr6,15500.0,0.0,36.0,0.0,182.0,0.0,0.0,350.0
 rx 6500xt tuf-rx6500xt-o4g-gaming 4гб gddr6,20640.0,0.0,36.0,0.0,250.0,2.0,1.0,500.0
 rtx 4060ti rtx4060ti dual oc 8гб gddr6,47130.0,0.0,36.0,0.0,249.9,4.0,1.0,650.0
 gt 1030 pa-gt1030 2gd4 2гб ddr4,7330.0,0.0,36.0,0.0,135.0,2.0,0.0,300.0
 gt 1030 gt1030-2g-brk 2гб gddr5,10370.0,0.0,36.0,0.0,169.0,3.0,0.0,300.0
