link,Рейтинг,Количество отзывов,Название,Цена,Страна,Гарантия,Семейство,Сокет,Ядро,Количество ядер,Количество потоков,Тактовая частота,Максимальная тактовая частота,Техпроцесс,Тип поставки,Объем кэша L2,Объем кэша L3,Интегрированное графическое ядро,Графическое ядро,Частота графического ядра,Максимальная частота графического ядра,Тип поддерживаемой памяти,Поддерживаемые стандарты памяти,Количество каналов памяти,Максимальный объем памяти,Максимальная пропускная способность памяти,Поддерживаемые инструкции,Тепловыделение,Максимальная рабочая температура,Высота,Ширина,Максимальный объем видеопамяти,Объем кэша L1,Глубина,Разблокированный множитель,Поддержка памяти ECC,Коэффициент умножения,Технологии,Вес,Дополнительная информация,Unnamed: 41,Кулер,Минимальное напряжение питания,Максимальное напряжение питания
https://www.eldorado.ru/cat/detail/protsessor-intel-i5-12600-3-3ghz-box/,,,Процессор Intel Core i5-12600 3.3GHz Box,18 499 р.,Китай,1 год,Intel Core i5,,,6,12,3.3 ГГц,4.8 ГГц,,BOX,7.5 МБ,18 МБ,,,,,DDR4,PC4-25600 (DDR4 3200 МГц),2,128 ГБ,76.8 Гбит/с,"SSE4.1, SSE4.2, AES",,100 ˚С,37.5 мм,45 мм,,,,,Есть,,,,,,,,
https://www.eldorado.ru/cat/detail/protsessor-intel-sore-i7-12700-s1700-2-1g-bx8071512700-s-rl4q/,,,Процессор Intel Core i7-12700 S1700 2.1G (BX8071512700 S RL4Q),29 499 р.,Вьетнам,3 года,Intel Core i7,,,12,,2.1 ГГц,4.8 ГГц,,BOX,12 МБ,25 МБ,Есть,,,,,,,,,,180 Вт,,,,,,,,,,,,,,,,
https://www.eldorado.ru/cat/detail/protsessor-intel-sore-i5-12600kf-s1700-3-7g-bx8071512600kf-s-rl4u/,,,Процессор Intel Core i5-12600KF S1700 3.7G (BX8071512600KF S RL4U),22 299 р.,Вьетнам,3 года,Intel Core i5,LGA1700,Alder Lake,10,16,3.7 ГГц,4.9 ГГц,10 нм,BOX,9.5 МБ,20 МБ,,,,,"DDR5, DDR4","PC5-38400 (DDR5 4800 МГц), PC4-25600 (DDR4 3200 МГц)",,128 ГБ,,,150 Вт,,,,,,,Есть,,,,,,,,,
https://www.eldorado.ru/cat/detail/protsessor-intel-core-i7-10700f-s1200-2-9g-bx8070110700f-s-rh70/,,,Процессор Intel Core I7-10700F S1200 2.9G (BX8070110700F S RH70),21 999 р.,Вьетнам,1 год,Intel Core i7,LGA1200,,8,16,2.9 ГГц,4.8 ГГц,14 нм,BOX,16 МБ,,,,,,DDR4,PC4-23400 (DDR4 2933 МГц),2,128 ГБ,45.8 Гбит/с,"SSE4.1, SSE4.2, AES",,100 ˚С,37.5 мм,37.5 мм,,,,,,,,,,,,,
https://www.eldorado.ru/cat/detail/protsessor-intel-i5-11600kf-4-9ghz-box/,,,Процессор Intel Core i5-11600KF 4.9GHz Box,18 899 р.,Китай,1 год,Intel Core i5,LGA1200,Rocket Lake,6,12,3.9 ГГц,4.9 ГГц,14 нм,BOX,3 МБ,12 МБ,,,,,DDR4,PC4-25600 (DDR4 3200 МГц),2,128 ГБ,50 Гбит/с,"SSE4.1, SSE4.2, AES",125 Вт,100 ˚С,37.5 мм,37.5 мм,,,,,,,,,,,,,
https://www.eldorado.ru/cat/detail/protsessor-intel-core-i5-12600kf-s1700-3-7g-bx8071512600kf-s-rl4u/,,,Процессор Intel Core I5-12600KF S1700 3.7G (BX8071512600KF S RL4U),23 499 р.,Вьетнам,1 год,Intel Core i5,,,10,16,2.8 ГГц,4.9 ГГц,,BOX,9.5 МБ,20 МБ,,,,,DDR4,PC4-25600 (DDR4 3200 МГц),2,128 ГБ,76.8 Гбит/с,"SSE4.1, SSE4.2, AES",,100 ˚С,37.5 мм,45 мм,,,,,,,,,,,,,
https://www.eldorado.ru/cat/detail/protsessor-intel-core-i7-12700-s1700-2-1g-bx8071512700-s-rl4q/,,,Процессор Intel Core I7-12700 S1700 2.1G (BX8071512700 S RL4Q),29 999 р.,Вьетнам,1 год,Intel Core i7,,,12,20,1.6 ГГц,4.9 ГГц,14 нм,BOX,12 МБ,25 МБ,Есть,,300 МГц,1500 МГц,DDR4,PC4-25600 (DDR4 3200 МГц),2,128 ГБ,76.8 Гбит/с,"SSE4.1, SSE4.2, AES",,100 ˚С,37.5 мм,45 мм,,,,,Есть,,,,,,,,
https://www.eldorado.ru/cat/detail/protsessor-intel-core-i5-12400f-oem/,,,Процессор Intel Core i5-12400F OEM,18 790 р.,Китай,3 года,Intel Core i5,LGA1700,Alder Lake,6,12,2.5 ГГц,4.4 ГГц,10 нм,OEM,7.5 МБ,18 МБ,,,,,"DDR5, DDR4","PC5-38400 (DDR5 4800 МГц), PC4-25600 (DDR4 3200 МГц)",2,128 ГБ,,,117 Вт,100 ˚С,45 мм,37.5 мм,,,,,,,,,,,,,
https://www.eldorado.ru/cat/detail/protsessor-intel-sore-i7-10700f-s1200-2-9g-bx8070110700f-s-rh70/,,,Процессор Intel Core i7-10700F S1200 2.9G (BX8070110700F S RH70),19 999 р.,Вьетнам,3 года,Intel Core i7,LGA1200,Comet Lake,8,16,2.9 ГГц,4.8 ГГц,14 нм,BOX,1.5 МБ,16 МБ,,,,,DDR4,PC4-23400 (DDR4 2933 МГц),,,,,65 Вт,100 ˚С,,,,,,,,,,,,,,,
https://www.eldorado.ru/cat/detail/protsessor-intel-i7-10700k-3-8ghz-16m-1200-no-fan-box/,,,Процессор Intel i7 10700K 3.8GHz 16M 1200 no Fan Box,26 999 р.,Китай,1 год,Intel Core i7,LGA1200,,8,16,3.8 ГГц,5.1 ГГц,14 нм,BOX,16 МБ,,Есть,Intel UHD Graphics 630,350 МГц,1200 МГц,DDR4,PC4-23400 (DDR4 2933 МГц),2,128 ГБ,45.8 Гбит/с,"SSE4.1, SSE4.2, AES",,100 ˚С,37.5 мм,37.5 мм,64 ГБ,,,,,,,,,,,,
