Название,Рейтинг,Количество отзывов,Цена,,Страна,Гарантия,Операционная система,Производитель процессора,Модель процессора,Тактовая частота,Максимальная тактовая частота,Количество ядер,Кэш L3,Производитель чипсета,Модель чипсета,Объем оперативной памяти,Максимальный объем,Тип оперативной памяти,Частота памяти,Слоты для оперативной памяти,Тип накопителя,Объем накопителя,Тип видеокарты,Производитель видеокарты,Модель видеокарты,Тип видеопамяти,Тип оптического привода,LAN-адаптер,DVI,HDMI,USB 2.0,USB 3.0,LAN разъем (RJ-45),Line-In,Фронтальный разъем для наушников/микрофона 3.5мм,Подсветка корпуса,Размещение,Мощность блока питания,Высота,Ширина,Глубина,Вес,Цвет,Wi-Fi,Стандарт Wi-Fi,Объем первого накопителя,Объем второго накопителя,Игровой системный блок,Объем видеопамяти,DisplayPort,Типоразмер корпуса,Материал корпуса,Интерфейс подключения,USB 3.0 (Type-C),Разъем для наушников,Кабель питания,Разъем для наушников/микрофона,Bluetooth-адаптер,Картридер,VGA (D-Sub),USB 3.1,Разъем для микрофона,USB 3.2,Дополнительная информация,Фронтальный разъем для наушников 3.5мм,USB,Кэш L2,Количество ядер графического процессора,Thunderbolt/USB 4,PS/2,USB 3.1 (Type-C),Фронтальный разъем для микрофона 3.5мм,Звуковая карта,Speaker-Out,Thunderbolt 3,Toslink
Игровой компьютер Robotcomp M16 2.0 V3 Plus Pink,0.0,0.0,84 590 р.,,Россия,3 года,Windows 10 Профессиональная ,Intel ,Core i5-12400F,2.5 ГГц ,4.4 ГГц,6 ,18 МБ,Intel,H610M,32 ГБ ,64 ГБ,DDR4,2666 МГц,2 шт.,SSD ,960 ГБ ,Дискретная ,NVIDIA ,GeForce GTX 1660 SUPER,GDDR6,Нет ,1000/100/10 Мбит/с,,1 шт.,4 шт.,3 шт.,1 шт.,1,Есть,Есть,Вертикальное,600 Вт,45 см,20 см,40 см,8 кг,,Есть ,"IEEE 802.11b, IEEE 802.11a, IEEE 802.11g, IEEE 802.11n",,,Есть ,6 ГБ,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Игровой компьютер Robotcomp Zero V2 White,0.0,0.0,86 590 р.,,Россия,3 года,Windows 10 Профессиональная x64 ,AMD ,Ryzen 5 5600X,3.7 ГГц ,4.6 ГГц,6 ,16 МБ,AMD,B450М,32 ГБ ,64 ГБ,DDR4,3000 МГц,2 шт.,HDD+SSD ,1.512 ТБ ,Дискретная ,NVIDIA ,GeForce RTX 3060,GDDR6,Нет ,1000/100/10 Мбит/с,,1 шт.,1 шт.,2 шт.,1 шт.,1,Есть,Есть,Вертикальное,700 Вт,46 см,21 см,45 см,12 кг,Белый,,,1 ТБ,512 ГБ,Есть ,12 ГБ,1,,,M.2,,,,,,,,,,,,,,,,,,,,,,,
Игровой компьютер Robotcomp Zero V3 White,0.0,0.0,91 890 р.,,Россия,3 года,Windows 10 Профессиональная x64 ,AMD ,Ryzen 5 5600X,3.7 ГГц ,4.6 ГГц,6 ,16 МБ,AMD,B450М,32 ГБ ,64 ГБ,DDR4,3000 МГц,2 шт.,HDD+SSD ,1.512 ТБ ,Дискретная ,NVIDIA ,GeForce RTX 3060,GDDR6,Нет ,1000/100/10 Мбит/с,,1 шт.,1 шт.,2 шт.,1 шт.,1,Есть,Есть,Вертикальное,700 Вт,46 см,21 см,45 см,12 кг,Белый,Есть ,,1 ТБ,512 ГБ,Есть ,12 ГБ,1,,,M.2,,,,,,,,,,,,,,,,,,,,,,,
Игровой компьютер Robotcomp M16 3.0 Magic Red,0.0,0.0,79 590 р.,,Россия,3 года,FreeDOS ,Intel ,Core i5-12400F,2.5 ГГц ,4.4 ГГц,6 ,18 МБ,Intel,B660M,16 ГБ ,64 ГБ,DDR4,2666 МГц,2 шт.,SSD ,960 ГБ ,Дискретная ,NVIDIA ,GeForce RTX 3060,GDDR6,Нет ,1000/100/10 Мбит/с,,1 шт.,4 шт.,3 шт.,1 шт.,1,Есть,Есть,Вертикальное,600 Вт,45 см,21 см,44 см,8 кг,Черный,,,,,Есть ,12 ГБ,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Игровой компьютер Robotcomp Zero V3 Pink,0.0,0.0,91 890 р.,,Россия,3 года,Windows 10 Профессиональная x64 ,AMD ,Ryzen 5 5600X,3.7 ГГц ,4.6 ГГц,6 ,16 МБ,AMD,B450М,32 ГБ ,64 ГБ,DDR4,3000 МГц,2 шт.,HDD+SSD ,1.512 ТБ ,Дискретная ,NVIDIA ,GeForce RTX 3060,GDDR6,Нет ,1000/100/10 Мбит/с,,1 шт.,1 шт.,2 шт.,1 шт.,1,Есть,Есть,Вертикальное,700 Вт,46 см,21 см,45 см,9 кг,,Есть ,,1 ТБ,512 ГБ,Есть ,12 ГБ,1,,,M.2,,,,,,,,,,,,,,,,,,,,,,,
Игровой компьютер Robotcomp Анаконда White,0.0,0.0,91 190 р.,,Россия,3 года,FreeDOS ,Intel ,,3.7 ГГц ,4.9 ГГц,10 ,25 МБ,Intel,B660M,16 ГБ ,64 ГБ,DDR4,2666 МГц,2 шт.,SSD ,512 ГБ ,Дискретная ,NVIDIA ,GeForce RTX 3060,GDDR6,Нет ,1000/100/10 Мбит/с,,1 шт.,2 шт.,2 шт.,1 шт.,2,Есть,Есть,Вертикальное,700 Вт,50 см,23 см,39 см,9 кг,Белый,,,,,Есть ,12 ГБ,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Игровой компьютер Robotcomp Анаконда Plus White,0.0,0.0,96 790 р.,,Россия,3 года,FreeDOS ,Intel ,,3.7 ГГц ,4.9 ГГц,10 ,25 МБ,Intel,B660M,32 ГБ ,64 ГБ,DDR4,2666 МГц,2 шт.,SSD ,512 ГБ ,Дискретная ,NVIDIA ,GeForce RTX 3060,GDDR6,Нет ,1000/100/10 Мбит/с,,1 шт.,2 шт.,2 шт.,1 шт.,2,Есть,Есть,Вертикальное,700 Вт,50 см,23 см,39 см,9 кг,Белый,,,,,Есть ,12 ГБ,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Игровой компьютер Robotcomp Анаконда V2 White,0.0,0.0,94 890 р.,,Россия,3 года,Windows 10 Профессиональная x64 ,Intel ,,3.7 ГГц ,4.9 ГГц,10 ,25 МБ,Intel,B660M,16 ГБ ,64 ГБ,DDR4,2666 МГц,2 шт.,SSD ,512 ГБ ,Дискретная ,NVIDIA ,GeForce RTX 3060,GDDR6,Нет ,1000/100/10 Мбит/с,,1 шт.,2 шт.,2 шт.,1 шт.,2,Есть,Есть,Вертикальное,700 Вт,50 см,23 см,39 см,9 кг,Белый,,,,,Есть ,12 ГБ,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Игровой компьютер Robotcomp Анаконда V2 Plus White,0.0,0.0,100 590 р.,,Россия,3 года,Windows 10 Профессиональная x64 ,Intel ,,3.7 ГГц ,4.9 ГГц,10 ,25 МБ,Intel,B660M,32 ГБ ,64 ГБ,DDR4,2666 МГц,2 шт.,SSD ,512 ГБ ,Дискретная ,NVIDIA ,GeForce RTX 3060,GDDR6,Нет ,1000/100/10 Мбит/с,,1 шт.,2 шт.,2 шт.,1 шт.,2,Есть,Есть,Вертикальное,700 Вт,50 см,23 см,39 см,9 кг,Белый,,,,,Есть ,12 ГБ,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Игровой компьютер Robotcomp Анаконда V3 White,0.0,0.0,100 190 р.,,Россия,3 года,Windows 10 Профессиональная x64 ,Intel ,,3.7 ГГц ,4.9 ГГц,10 ,25 МБ,Intel,B660M,16 ГБ ,64 ГБ,DDR4,2666 МГц,2 шт.,SSD ,512 ГБ ,Дискретная ,NVIDIA ,GeForce RTX 3060,GDDR6,Нет ,1000/100/10 Мбит/с,,1 шт.,2 шт.,2 шт.,1 шт.,2,Есть,Есть,Вертикальное,700 Вт,50 см,23 см,39 см,9 кг,Белый,Есть ,,,,Есть ,12 ГБ,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Игровой компьютер Robotcomp M16 3.0 Plus Magic Red,0.0,0.0,85 290 р.,,Россия,3 года,FreeDOS ,Intel ,Core i5-12400F,2.5 ГГц ,4.4 ГГц,6 ,18 МБ,Intel,B660M,32 ГБ ,64 ГБ,DDR4,2666 МГц,2 шт.,SSD ,960 ГБ ,Дискретная ,NVIDIA ,GeForce RTX 3060,GDDR6,Нет ,1000/100/10 Мбит/с,,1 шт.,4 шт.,3 шт.,1 шт.,1,Есть,Есть,Вертикальное,600 Вт,45 см,21 см,44 см,8 кг,Черный,,,,,Есть ,12 ГБ,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Игровой компьютер Robotcomp Анаконда V3 Plus White,0.0,0.0,105 890 р.,,Россия,3 года,Windows 10 Профессиональная x64 ,Intel ,,3.7 ГГц ,4.9 ГГц,10 ,25 МБ,Intel,B660M,32 ГБ ,64 ГБ,DDR4,2666 МГц,2 шт.,SSD ,512 ГБ ,Дискретная ,NVIDIA ,GeForce RTX 3060,GDDR6,Нет ,1000/100/10 Мбит/с,,1 шт.,2 шт.,2 шт.,1 шт.,2,Есть,Есть,Вертикальное,700 Вт,50 см,23 см,39 см,9 кг,Белый,Есть ,,,,Есть ,12 ГБ,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Игровой компьютер Robotcomp M16 3.0 V2 Magic Red,0.0,0.0,83 490 р.,,Россия,3 года,Windows 10 Профессиональная ,Intel ,Core i5-12400F,2.5 ГГц ,4.4 ГГц,6 ,18 МБ,Intel,B660M,16 ГБ ,64 ГБ,DDR4,2666 МГц,2 шт.,SSD ,960 ГБ ,Дискретная ,NVIDIA ,GeForce RTX 3060,GDDR6,Нет ,1000/100/10 Мбит/с,,1 шт.,4 шт.,3 шт.,1 шт.,1,Есть,Есть,Вертикальное,600 Вт,45 см,21 см,44 см,8 кг,Черный,,,,,Есть ,12 ГБ,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Игровой компьютер Robotcomp M16 3.0 V3 Magic Red,0.0,0.0,88 790 р.,,Россия,3 года,Windows 10 Профессиональная ,Intel ,Core i5-12400F,2.5 ГГц ,4.4 ГГц,6 ,18 МБ,Intel,B660M,16 ГБ ,64 ГБ,DDR4,2666 МГц,2 шт.,SSD ,960 ГБ ,Дискретная ,NVIDIA ,GeForce RTX 3060,GDDR6,Нет ,1000/100/10 Мбит/с,,1 шт.,4 шт.,3 шт.,1 шт.,1,Есть,Есть,Вертикальное,600 Вт,45 см,21 см,44 см,8 кг,Черный,Есть ,"IEEE 802.11b, IEEE 802.11a, IEEE 802.11g, IEEE 802.11n",,,Есть ,12 ГБ,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Игровой компьютер Robotcomp M16 3.0 V3 Plus Magic Red,0.0,0.0,94 490 р.,,Россия,3 года,Windows 10 Профессиональная ,Intel ,Core i5-12400F,2.5 ГГц ,4.4 ГГц,6 ,18 МБ,Intel,B660M,32 ГБ ,64 ГБ,DDR4,2666 МГц,2 шт.,SSD ,960 ГБ ,Дискретная ,NVIDIA ,GeForce RTX 3060,GDDR6,Нет ,1000/100/10 Мбит/с,,1 шт.,4 шт.,3 шт.,1 шт.,1,Есть,Есть,Вертикальное,600 Вт,45 см,21 см,44 см,8 кг,Черный,Есть ,"IEEE 802.11b, IEEE 802.11a, IEEE 802.11g, IEEE 802.11n",,,Есть ,12 ГБ,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Игровой компьютер Robotcomp M16 3.0 Pink,0.0,0.0,79 590 р.,,Россия,3 года,FreeDOS ,Intel ,Core i5-12400F,2.5 ГГц ,4.4 ГГц,6 ,18 МБ,Intel,B660M,16 ГБ ,64 ГБ,DDR4,2666 МГц,2 шт.,SSD ,960 ГБ ,Дискретная ,NVIDIA ,GeForce RTX 3060,GDDR6,Нет ,1000/100/10 Мбит/с,,1 шт.,4 шт.,3 шт.,1 шт.,1,Есть,Есть,Вертикальное,600 Вт,42 см,22 см,38 см,8 кг,,,,,,Есть ,12 ГБ,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Игровой компьютер Robotcomp M16 3.0 Plus Pink,0.0,0.0,85 290 р.,,Россия,3 года,FreeDOS ,Intel ,Core i5-12400F,2.5 ГГц ,4.4 ГГц,6 ,18 МБ,Intel,B660M,32 ГБ ,64 ГБ,DDR4,2666 МГц,2 шт.,SSD ,960 ГБ ,Дискретная ,NVIDIA ,GeForce RTX 3060,GDDR6,Нет ,1000/100/10 Мбит/с,,1 шт.,4 шт.,3 шт.,1 шт.,1,Есть,Есть,Вертикальное,600 Вт,42 см,22 см,38 см,8 кг,,,,,,Есть ,12 ГБ,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Игровой компьютер Robotcomp M16 3.0 V2 Pink,0.0,0.0,83 490 р.,,Россия,3 года,Windows 10 Профессиональная ,Intel ,Core i5-12400F,2.5 ГГц ,4.4 ГГц,6 ,18 МБ,Intel,B660M,16 ГБ ,64 ГБ,DDR4,2666 МГц,2 шт.,SSD ,960 ГБ ,Дискретная ,NVIDIA ,GeForce RTX 3060,GDDR6,Нет ,1000/100/10 Мбит/с,,1 шт.,4 шт.,3 шт.,1 шт.,1,Есть,Есть,Вертикальное,600 Вт,42 см,22 см,38 см,8 кг,,,,,,Есть ,12 ГБ,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Игровой компьютер Robotcomp M16 3.0 V2 Plus Pink,0.0,0.0,89 190 р.,,Россия,3 года,Windows 10 Профессиональная ,Intel ,Core i5-12400F,2.5 ГГц ,4.4 ГГц,6 ,18 МБ,Intel,B660M,32 ГБ ,64 ГБ,DDR4,2666 МГц,2 шт.,SSD ,960 ГБ ,Дискретная ,NVIDIA ,GeForce RTX 3060,GDDR6,Нет ,1000/100/10 Мбит/с,,1 шт.,4 шт.,3 шт.,1 шт.,1,Есть,Есть,Вертикальное,600 Вт,42 см,22 см,38 см,8 кг,,,,,,Есть ,12 ГБ,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Игровой компьютер Robotcomp M16 3.0 V3 Pink,0.0,0.0,88 790 р.,,Россия,3 года,Windows 10 Профессиональная ,Intel ,Core i5-12400F,2.5 ГГц ,4.4 ГГц,6 ,18 МБ,Intel,B660M,16 ГБ ,64 ГБ,DDR4,2666 МГц,2 шт.,SSD ,960 ГБ ,Дискретная ,NVIDIA ,GeForce RTX 3060,GDDR6,Нет ,1000/100/10 Мбит/с,,1 шт.,4 шт.,3 шт.,1 шт.,1,Есть,Есть,Вертикальное,600 Вт,42 см,22 см,38 см,8 кг,,Есть ,"IEEE 802.11b, IEEE 802.11a, IEEE 802.11g, IEEE 802.11n",,,Есть ,12 ГБ,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Игровой компьютер Robotcomp M16 3.0 V3 Plus Pink,0.0,0.0,94 490 р.,,Россия,3 года,Windows 10 Профессиональная ,Intel ,Core i5-12400F,2.5 ГГц ,4.4 ГГц,6 ,18 МБ,Intel,B660M,32 ГБ ,64 ГБ,DDR4,2666 МГц,2 шт.,SSD ,960 ГБ ,Дискретная ,NVIDIA ,GeForce RTX 3060,GDDR6,Нет ,1000/100/10 Мбит/с,,1 шт.,4 шт.,3 шт.,1 шт.,1,Есть,Есть,Вертикальное,600 Вт,42 см,22 см,38 см,8 кг,,Есть ,"IEEE 802.11b, IEEE 802.11a, IEEE 802.11g, IEEE 802.11n",,,Есть ,12 ГБ,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Игровой компьютер Robotcomp Анаконда Pink,0.0,0.0,91 190 р.,,Россия,3 года,FreeDOS ,Intel ,,3.7 ГГц ,4.9 ГГц,10 ,25 МБ,Intel,B660M,16 ГБ ,64 ГБ,DDR4,2666 МГц,2 шт.,SSD ,512 ГБ ,Дискретная ,NVIDIA ,GeForce RTX 3060,GDDR6,Нет ,1000/100/10 Мбит/с,,1 шт.,2 шт.,2 шт.,1 шт.,2,Есть,,Вертикальное,700 Вт,50 см,23 см,39 см,9 кг,,,,,,Есть ,12 ГБ,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Игровой компьютер Robotcomp Анаконда Plus Pink,0.0,0.0,96 790 р.,,Россия,3 года,FreeDOS ,Intel ,,3.7 ГГц ,4.9 ГГц,10 ,25 МБ,Intel,B660M,32 ГБ ,64 ГБ,DDR4,2666 МГц,2 шт.,SSD ,512 ГБ ,Дискретная ,NVIDIA ,GeForce RTX 3060,GDDR6,Нет ,1000/100/10 Мбит/с,,1 шт.,2 шт.,2 шт.,1 шт.,2,Есть,,Вертикальное,700 Вт,50 см,23 см,39 см,9 кг,,,,,,Есть ,12 ГБ,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Игровой компьютер Robotcomp Анаконда V2 Pink,0.0,0.0,94 890 р.,,Россия,3 года,Windows 10 Профессиональная x64 ,Intel ,,3.7 ГГц ,4.9 ГГц,10 ,25 МБ,Intel,B660M,16 ГБ ,64 ГБ,DDR4,2666 МГц,2 шт.,SSD ,512 ГБ ,Дискретная ,NVIDIA ,GeForce RTX 3060,GDDR6,Нет ,1000/100/10 Мбит/с,,1 шт.,2 шт.,2 шт.,1 шт.,2,Есть,,Вертикальное,700 Вт,50 см,23 см,39 см,9 кг,,,,,,Есть ,12 ГБ,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Игровой компьютер Robotcomp Анаконда V3 Pink,0.0,0.0,100 190 р.,,Россия,3 года,Windows 10 Профессиональная x64 ,Intel ,,3.7 ГГц ,4.9 ГГц,10 ,25 МБ,Intel,B660M,16 ГБ ,64 ГБ,DDR4,2666 МГц,2 шт.,SSD ,512 ГБ ,Дискретная ,NVIDIA ,GeForce RTX 3060,GDDR6,Нет ,1000/100/10 Мбит/с,,1 шт.,2 шт.,2 шт.,1 шт.,2,Есть,,Вертикальное,700 Вт,50 см,23 см,39 см,9 кг,,Есть ,,,,Есть ,12 ГБ,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Игровой компьютер Robotcomp Анаконда V3 Plus Pink,0.0,0.0,105 890 р.,,Россия,3 года,Windows 10 Профессиональная x64 ,Intel ,,3.7 ГГц ,4.9 ГГц,10 ,25 МБ,Intel,B660M,32 ГБ ,64 ГБ,DDR4,2666 МГц,2 шт.,SSD ,512 ГБ ,Дискретная ,NVIDIA ,GeForce RTX 3060,GDDR6,Нет ,1000/100/10 Мбит/с,,1 шт.,2 шт.,2 шт.,1 шт.,2,Есть,,Вертикальное,700 Вт,50 см,23 см,39 см,9 кг,,Есть ,,,,Есть ,12 ГБ,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Игровой компьютер Robotcomp Анаконда 2.0 White,0.0,0.0,115 890 р.,,Россия,3 года,FreeDOS ,Intel ,,3.7 ГГц ,4.9 ГГц,10 ,25 МБ,Intel,B660M,16 ГБ ,64 ГБ,DDR4,3200 МГц,2 шт.,SSD ,960 ГБ ,Дискретная ,NVIDIA ,GeForce RTX 4060 Ti,GDDR6,Нет ,1000/100/10 Мбит/с,,1 шт.,2 шт.,2 шт.,1 шт.,2,Есть,Есть,Вертикальное,700 Вт,49 см,23 см,39 см,8 кг,Белый,,,,,Есть ,8 ГБ,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Игровой компьютер Robotcomp Анаконда 2.0 Plus White,0.0,0.0,121 590 р.,,Россия,3 года,FreeDOS ,Intel ,,3.7 ГГц ,4.9 ГГц,10 ,25 МБ,Intel,B660M,32 ГБ ,64 ГБ,DDR4,3200 МГц,2 шт.,SSD ,960 ГБ ,Дискретная ,NVIDIA ,GeForce RTX 4060 Ti,GDDR6,Нет ,1000/100/10 Мбит/с,,1 шт.,2 шт.,2 шт.,1 шт.,2,Есть,Есть,Вертикальное,700 Вт,49 см,23 см,39 см,8 кг,Белый,,,,,Есть ,8 ГБ,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Игровой компьютер Robotcomp Анаконда 2.0 V2 White,0.0,0.0,119 590 р.,,Россия,3 года,Windows 10 Профессиональная x64 ,Intel ,,3.7 ГГц ,4.9 ГГц,10 ,25 МБ,Intel,B660M,16 ГБ ,64 ГБ,DDR4,3200 МГц,2 шт.,SSD ,960 ГБ ,Дискретная ,NVIDIA ,GeForce RTX 4060 Ti,GDDR6,Нет ,1000/100/10 Мбит/с,,1 шт.,2 шт.,2 шт.,1 шт.,2,Есть,Есть,Вертикальное,700 Вт,49 см,23 см,39 см,8 кг,Белый,,,,,Есть ,8 ГБ,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Игровой компьютер Robotcomp Анаконда 2.0 V2 Plus White,0.0,0.0,125 290 р.,,Россия,3 года,Windows 10 Профессиональная x64 ,Intel ,,3.7 ГГц ,4.9 ГГц,10 ,25 МБ,,B660M,32 ГБ ,64 ГБ,DDR4,3200 МГц,2 шт.,SSD ,960 ГБ ,Дискретная ,NVIDIA ,GeForce RTX 4060 Ti,GDDR6,Нет ,1000/100/10 Мбит/с,,1 шт.,2 шт.,2 шт.,1 шт.,2,Есть,Есть,Вертикальное,700 Вт,49 см,23 см,39 см,8 кг,Белый,,,,,Есть ,8 ГБ,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Игровой компьютер Robotcomp Анаконда 2.0 V3 White,0.0,0.0,124 890 р.,,Россия,3 года,Windows 10 Профессиональная x64 ,Intel ,,3.7 ГГц ,4.9 ГГц,10 ,25 МБ,Intel,B660M,16 ГБ ,64 ГБ,DDR4,3200 МГц,2 шт.,SSD ,960 ГБ ,Дискретная ,NVIDIA ,GeForce RTX 4060 Ti,GDDR6,Нет ,1000/100/10 Мбит/с,,1 шт.,2 шт.,2 шт.,1 шт.,2,Есть,Есть,Вертикальное,700 Вт,49 см,23 см,39 см,8 кг,Белый,Есть ,,,,Есть ,8 ГБ,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Игровой компьютер Robotcomp Анаконда 2.0 V3 Plus White,0.0,0.0,130 590 р.,,Россия,3 года,Windows 10 Профессиональная x64 ,Intel ,,3.7 ГГц ,4.9 ГГц,10 ,25 МБ,,B660M,32 ГБ ,64 ГБ,DDR4,3200 МГц,2 шт.,SSD ,960 ГБ ,Дискретная ,NVIDIA ,GeForce RTX 4060 Ti,GDDR6,Нет ,1000/100/10 Мбит/с,,1 шт.,2 шт.,2 шт.,1 шт.,2,Есть,Есть,Вертикальное,700 Вт,49 см,23 см,39 см,8 кг,Белый,Есть ,,,,Есть ,8 ГБ,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Игровой компьютер Robotcomp Анаконда 2.0 Pink,0.0,0.0,115 890 р.,,Россия,3 года,FreeDOS ,Intel ,,3.7 ГГц ,4.9 ГГц,10 ,25 МБ,Intel,B660M,16 ГБ ,64 ГБ,DDR4,3200 МГц,2 шт.,SSD ,960 ГБ ,Дискретная ,NVIDIA ,GeForce RTX 4060 Ti,GDDR6,Нет ,1000/100/10 Мбит/с,,1 шт.,2 шт.,2 шт.,1 шт.,2,Есть,,Вертикальное,700 Вт,45 см,21 см,46 см,8 кг,,,,,,Есть ,8 ГБ,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Игровой компьютер Robotcomp Анаконда 2.0 Plus Pink,0.0,0.0,121 590 р.,,Россия,3 года,FreeDOS ,Intel ,,3.7 ГГц ,4.9 ГГц,10 ,25 МБ,Intel,B660M,32 ГБ ,64 ГБ,DDR4,3200 МГц,2 шт.,SSD ,960 ГБ ,Дискретная ,NVIDIA ,GeForce RTX 4060 Ti,GDDR6,Нет ,1000/100/10 Мбит/с,,1 шт.,2 шт.,2 шт.,1 шт.,2,Есть,,Вертикальное,700 Вт,45 см,21 см,46 см,8 кг,,,,,,Есть ,8 ГБ,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Игровой компьютер Robotcomp Анаконда 2.0 V2 Plus Pink,0.0,0.0,125 290 р.,,Россия,3 года,Windows 10 Профессиональная x64 ,Intel ,,3.7 ГГц ,4.9 ГГц,10 ,25 МБ,,B660M,32 ГБ ,64 ГБ,DDR4,3200 МГц,,SSD ,960 ГБ ,Дискретная ,NVIDIA ,GeForce RTX 4060 Ti,GDDR6,Нет ,1000/100/10 Мбит/с,,1 шт.,2 шт.,2 шт.,1 шт.,2,Есть,,Вертикальное,700 Вт,45 см,21 см,46 см,8 кг,,,,,,Есть ,8 ГБ,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Игровой компьютер Robotcomp Анаконда 2.0 V3 Pink,0.0,0.0,124 890 р.,,Россия,3 года,Windows 10 Профессиональная x64 ,Intel ,,3.7 ГГц ,4.9 ГГц,10 ,25 МБ,Intel,B660M,16 ГБ ,64 ГБ,DDR4,3200 МГц,2 шт.,SSD ,960 ГБ ,Дискретная ,NVIDIA ,GeForce RTX 4060 Ti,GDDR6,Нет ,1000/100/10 Мбит/с,,1 шт.,2 шт.,2 шт.,1 шт.,2,Есть,,Вертикальное,700 Вт,45 см,21 см,46 см,8 кг,,Есть ,,,,Есть ,8 ГБ,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Игровой компьютер Robotcomp Анаконда 2.0 V3 Plus Pink,0.0,0.0,130 590 р.,,Россия,3 года,Windows 10 Профессиональная x64 ,Intel ,,3.7 ГГц ,4.9 ГГц,10 ,25 МБ,,B660M,32 ГБ ,64 ГБ,DDR4,3200 МГц,,SSD ,960 ГБ ,Дискретная ,NVIDIA ,GeForce RTX 4060 Ti,GDDR6,Нет ,1000/100/10 Мбит/с,,1 шт.,2 шт.,2 шт.,1 шт.,2,Есть,,Вертикальное,700 Вт,45 см,21 см,46 см,8 кг,,Есть ,,,,Есть ,8 ГБ,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Игровой компьютер Robotcomp Анаконда 3.0 White,0.0,0.0,143 890 р.,,Россия,3 года,FreeDOS ,Intel ,,3.7 ГГц ,4.9 ГГц,10 ,25 МБ,Intel,B660M,32 ГБ ,64 ГБ,DDR4,3200 МГц,2 шт.,SSD ,1.92 ТБ ,Дискретная ,NVIDIA ,GeForce RTX 4070,GDDR6X,Нет ,1000/100/10 Мбит/с,,1 шт.,2 шт.,2 шт.,1 шт.,2,Есть,Есть,Вертикальное,750 Вт,49 см,23 см,39 см,10 кг,Белый,,,,,Есть ,12 ГБ,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Игровой компьютер Robotcomp Анаконда 3.0 Plus White,0.0,0.0,155 190 р.,,Россия,3 года,FreeDOS ,Intel ,,3.7 ГГц ,4.9 ГГц,10 ,25 МБ,Intel,B660M,64 ГБ ,64 ГБ,DDR4,3200 МГц,2 шт.,SSD ,1.92 ТБ ,Дискретная ,NVIDIA ,GeForce RTX 4070,GDDR6X,Нет ,1000/100/10 Мбит/с,,1 шт.,2 шт.,2 шт.,1 шт.,2,Есть,Есть,Вертикальное,750 Вт,49 см,23 см,39 см,10 кг,Белый,,,,,Есть ,12 ГБ,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Игровой компьютер Robotcomp Анаконда 3.0 V2 White,0.0,0.0,158 990 р.,,Россия,3 года,Windows 10 Профессиональная x64 ,Intel ,,3.7 ГГц ,4.9 ГГц,10 ,25 МБ,Intel,B660M,32 ГБ ,64 ГБ,DDR4,3200 МГц,2 шт.,SSD ,1.92 ТБ ,Дискретная ,NVIDIA ,GeForce RTX 4070,GDDR6X,Нет ,1000/100/10 Мбит/с,,1 шт.,2 шт.,2 шт.,1 шт.,2,Есть,Есть,Вертикальное,750 Вт,49 см,23 см,39 см,10 кг,Белый,,,,,Есть ,12 ГБ,2,,,,,,,,,,,,,,,,,,,,,,,,,,
