Название,Рейтинг,Количество отзывов,Цена,,Страна,Гарантия,Операционная система,Производитель процессора,Модель процессора,Тактовая частота,Максимальная тактовая частота,Количество ядер,Кэш L3,Производитель чипсета,Модель чипсета,Объем оперативной памяти,Максимальный объем,Тип оперативной памяти,Частота памяти,Слоты для оперативной памяти,Тип накопителя,Объем накопителя,Тип видеокарты,Производитель видеокарты,Модель видеокарты,Тип видеопамяти,Тип оптического привода,LAN-адаптер,DVI,HDMI,USB 2.0,USB 3.0,LAN разъем (RJ-45),Line-In,Фронтальный разъем для наушников/микрофона 3.5мм,Подсветка корпуса,Размещение,Мощность блока питания,Высота,Ширина,Глубина,Вес,Цвет,Wi-Fi,Стандарт Wi-Fi,Объем первого накопителя,Объем второго накопителя,Игровой системный блок,Объем видеопамяти,DisplayPort,Типоразмер корпуса,Материал корпуса,Интерфейс подключения,USB 3.0 (Type-C),Разъем для наушников,Кабель питания,Разъем для наушников/микрофона,Bluetooth-адаптер,Картридер,VGA (D-Sub),USB 3.1,Разъем для микрофона,USB 3.2,Дополнительная информация,Фронтальный разъем для наушников 3.5мм,USB,Кэш L2,Количество ядер графического процессора,Thunderbolt/USB 4,PS/2,USB 3.1 (Type-C),Фронтальный разъем для микрофона 3.5мм,Звуковая карта,Speaker-Out,Thunderbolt 3,Toslink
Игровой компьютер Robotcomp Старт V2 1650,0.0,0.0,45 190 р.,,Россия,3 года,FreeDOS ,Intel ,Core i3-10100F,3.6 ГГц ,4.3 ГГц,4 ,6 МБ,,,8 ГБ ,64 ГБ,DDR4,2666 МГц,1 шт.,SSD ,480 ГБ ,Дискретная ,NVIDIA ,GeForce GTX 1650,GDDR5,,1000/100/10 Мбит/с,,1 шт.,1 шт.,2 шт.,1 шт.,2,Есть,Есть,Вертикальное,500 Вт,42 см,21 см,37 см,8 кг,Черный,,,,,Есть ,4 ГБ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Игровой компьютер Robotcomp Старт V2 Plus 1650,0.0,0.0,49 190 р.,,Россия,3 года,Windows 10 Профессиональная ,Intel ,Core i3-10100F,3.6 ГГц ,4.3 ГГц,4 ,6 МБ,,,16 ГБ ,64 ГБ,DDR4,2666 МГц,1 шт.,SSD ,480 ГБ ,Дискретная ,NVIDIA ,GeForce GTX 1650,GDDR5,,1000/100/10 Мбит/с,,1 шт.,1 шт.,2 шт.,1 шт.,2,Есть,Есть,Вертикальное,500 Вт,42 см,21 см,37 см,8 кг,Черный,,,,,Есть ,4 ГБ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Игровой компьютер Robotcomp Старт V3 1650,0.0,0.0,50 390 р.,,Россия,3 года,Windows 10 Профессиональная ,Intel ,Core i3-10100F,3.6 ГГц ,4.3 ГГц,4 ,6 МБ,,,8 ГБ ,64 ГБ,DDR4,2666 МГц,1 шт.,SSD ,480 ГБ ,Дискретная ,NVIDIA ,GeForce GTX 1650,GDDR5,,1000/100/10 Мбит/с,,1 шт.,1 шт.,2 шт.,1 шт.,2,Есть,Есть,Вертикальное,500 Вт,42 см,21 см,37 см,8 кг,Черный,,,,,Есть ,4 ГБ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Игровой компьютер Robotcomp Старт V3 Plus 1650,0.0,0.0,54 490 р.,,Россия,3 года,Windows 10 Профессиональная ,Intel ,Core i3-10100F,3.6 ГГц ,4.3 ГГц,4 ,6 МБ,,,16 ГБ ,64 ГБ,DDR4,2666 МГц,1 шт.,SSD ,480 ГБ ,Дискретная ,NVIDIA ,GeForce GTX 1650,GDDR5,,1000/100/10 Мбит/с,,1 шт.,1 шт.,2 шт.,1 шт.,2,Есть,Есть,Вертикальное,500 Вт,42 см,21 см,37 см,8 кг,Черный,,,,,Есть ,4 ГБ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Игровой компьютер Robotcomp Старт 1650 White,0.0,0.0,41 290 р.,,Россия,3 года,FreeDOS ,Intel ,Core i3-10100F,3.6 ГГц ,4.3 ГГц,4 ,6 МБ,,,8 ГБ ,64 ГБ,DDR4,2666 МГц,1 шт.,SSD ,480 ГБ ,Дискретная ,NVIDIA ,GeForce GTX 1650,GDDR5,,1000/100/10 Мбит/с,,1 шт.,1 шт.,2 шт.,1 шт.,2,Есть,Есть,Вертикальное,500 Вт,42 см,21 см,37 см,8 кг,Белый,,,,,Есть ,4 ГБ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Игровой компьютер Robotcomp Старт Plus 1650 White,0.0,0.0,45 390 р.,,Россия,3 года,FreeDOS ,Intel ,Core i3-10100F,3.6 ГГц ,4.3 ГГц,4 ,6 МБ,,,16 ГБ ,64 ГБ,DDR4,2666 МГц,1 шт.,SSD ,480 ГБ ,Дискретная ,NVIDIA ,GeForce GTX 1650,GDDR5,,1000/100/10 Мбит/с,,1 шт.,1 шт.,2 шт.,1 шт.,2,Есть,Есть,Вертикальное,500 Вт,42 см,21 см,37 см,8 кг,Белый,,,,,Есть ,4 ГБ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Игровой компьютер Robotcomp Циркон,0.0,0.0,72 890 р.,,Россия,3 года,FreeDOS ,Intel ,Core i5-12400F,2.5 ГГц ,4.4 ГГц,6 ,18 МБ,,,16 ГБ ,64 ГБ,DDR4,2666 МГц,2 шт.,HDD+SSD ,1480 ГБ ,Дискретная ,NVIDIA ,GeForce RTX 3050,GDDR6,,1000/100/10 Мбит/с,,1 шт.,4 шт.,3 шт.,1 шт.,1,Есть,Есть,,600 Вт,45 см,20 см,44 см,8 кг,Черный,,,1 ТБ,480 ГБ,Есть ,8 ГБ,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Игровой компьютер Robotcomp Старт 1650 V2 White,0.0,0.0,45 190 р.,,Россия,3 года,Windows 10 Профессиональная ,Intel ,Core i3-10100F,3.6 ГГц ,4.3 ГГц,4 ,6 МБ,,,8 ГБ ,64 ГБ,DDR4,2666 МГц,1 шт.,SSD ,480 ГБ ,Дискретная ,NVIDIA ,GeForce GTX 1650,GDDR5,,1000/100/10 Мбит/с,,1 шт.,1 шт.,2 шт.,1 шт.,2,Есть,Есть,Вертикальное,500 Вт,42 см,21 см,37 см,8 кг,Белый,,,,,Есть ,4 ГБ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Игровой компьютер Robotcomp Циркон V2 Plus,0.0,0.0,82 590 р.,,Россия,3 года,Windows 10 Профессиональная x64 ,Intel ,Core i5-12400F,2.5 ГГц ,4.4 ГГц,6 ,18 МБ,,,32 ГБ ,64 ГБ,DDR4,2666 МГц,2 шт.,HDD+SSD ,1480 ГБ ,Дискретная ,NVIDIA ,GeForce RTX 3050,GDDR6,,1000/100/10 Мбит/с,,1 шт.,4 шт.,3 шт.,1 шт.,1,Есть,Есть,Вертикальное,600 Вт,45 см,20 см,44 см,8 кг,Черный,,,1 ТБ,480 ГБ,Есть ,8 ГБ,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Игровой компьютер Robotcomp Циркон V3,0.0,0.0,82 190 р.,,Россия,3 года,Windows 10 Профессиональная x64 ,Intel ,Core i5-12400F,2.5 ГГц ,4.4 ГГц,6 ,18 МБ,,,16 ГБ ,64 ГБ,DDR4,2666 МГц,2 шт.,HDD+SSD ,1480 ГБ ,Дискретная ,NVIDIA ,GeForce RTX 3050,GDDR6,,1000/100/10 Мбит/с,,1 шт.,4 шт.,3 шт.,1 шт.,1,Есть,Есть,Вертикальное,600 Вт,45 см,20 см,44 см,8 кг,Черный,Есть ,,1 ТБ,480 ГБ,Есть ,8 ГБ,1,,,,,,,,,,,,,,,,,,,,,,,,,,
