Название,Рейтинг,Количество отзывов,Цена,link,Страна,Гарантия,Игровой системный блок,Операционная система,Производитель процессора,Модель процессора,Тактовая частота,Максимальная тактовая частота,Количество ядер,Кэш L3,Объем оперативной памяти,Максимальный объем,Тип оперативной памяти,Частота памяти,Слоты для оперативной памяти,Тип накопителя,Объем накопителя,Тип видеокарты,Производитель видеокарты,Модель видеокарты,Объем видеопамяти,Тип видеопамяти,LAN-адаптер,VGA (D-Sub),DVI,HDMI,DisplayPort,USB 2.0,USB 3.0,LAN разъем (RJ-45),Фронтальный разъем для наушников/микрофона 3.5мм,Типоразмер корпуса,Подсветка корпуса,Мощность блока питания,Высота,Ширина,Глубина,Вес,Цвет,USB,Разъем для наушников,Тип оптического привода,Bluetooth-адаптер,Wi-Fi,Стандарт Wi-Fi,USB 3.0 (Type-C),Размещение,Объем первого накопителя,Объем второго накопителя,Line-In,Фронтальный разъем для наушников 3.5мм,Кэш L2,Разъем для наушников/микрофона,USB 3.1,USB 3.1 (Type-C),Разъем для микрофона,Материал корпуса,Фронтальный разъем для микрофона 3.5мм,Дополнительная информация,Картридер,Интерфейс подключения,Скорость вращения шпинделя,Кабель питания,Тип вилки,PS/2,Производитель чипсета,Модель чипсета,Количество ядер графического процессора,Thunderbolt/USB 4,USB 3.2,Звуковая карта,Speaker-Out,Thunderbolt 3,Toslink,USB 3.2 (Type-C),Клавиатура,Мышь,Последовательный порт RS-232,Разрядность
Игровой компьютер Robotcomp Черная Пантера V2,0.0,0.0,75 790 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-robotcomp-chernaya-pantera-v2/,Россия,3 года,Есть ,Windows 10 Профессиональная x64 ,AMD ,Ryzen 5 5600X,3.7 ГГц ,4.6 ГГц,6 ,,16 ГБ ,64 ГБ,DDR4,3000 МГц,2 шт.,SSD ,512 ГБ ,Дискретная ,NVIDIA ,RTX 3050,8 ГБ,GDDR6,1000/100/10 Мбит/с,,,1 шт.,1,1 шт.,2 шт.,1 шт.,Есть,,Есть,696 Вт,47 см,22 см,39.5 см,12 кг,Черный,,,Нет ,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Игровой компьютер Robotcomp Черная Пантера V2 Plus,0.0,0.0,81 490 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-robotcomp-chernaya-pantera-v2-plus/,Россия,3 года,Есть ,Windows 10 Профессиональная x64 ,AMD ,Ryzen 5 5600X,3.7 ГГц ,4.6 ГГц,6 ,,32 ГБ ,64 ГБ,DDR4,3000 МГц,2 шт.,SSD ,512 ГБ ,Дискретная ,NVIDIA ,RTX 3050,8 ГБ,GDDR6,1000/100/10 Мбит/с,,,1 шт.,1,1 шт.,2 шт.,1 шт.,Есть,,Есть,696 Вт,47 см,22 см,39.5 см,12 кг,Черный,,,Нет ,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Компьютер Robotcomp Аллигатор V1 Pink,0.0,0.0,30 890 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-robotcomp-alligator-v1-pink/,Россия,3 года,,FreeDOS ,AMD ,Ryzen 5 4600G,3.7 ГГц ,4.2 ГГц,6 ,8 МБ,16 ГБ ,64 ГБ,DDR4,2666 МГц,2 шт.,SSD ,480 ГБ ,Интегрированная ,AMD ,AMD Radeon Graphics,,SMA,1000/100/10 Мбит/с,,,1 шт.,,6 шт.,6 шт.,1 шт.,Есть,,,400 Вт,44 см,19 см,40 см,9 кг,,,,Нет ,,,,,Вертикальное,,,1,,,,,,,,,,,,,,,,AMD,A320M,,,,,,,,,,,,
Компьютер Robotcomp Аллигатор Plus Pink,0.0,0.0,34 290 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-robotcomp-alligator-plus-pink/,Россия,3 года,,FreeDOS ,AMD ,Ryzen 5 4600G,3.7 ГГц ,4.2 ГГц,6 ,8 МБ,32 ГБ ,64 ГБ,DDR4,2666 МГц,2 шт.,SSD ,480 ГБ ,Интегрированная ,AMD ,AMD Radeon Graphics,,SMA,1000/100/10 Мбит/с,,,1 шт.,,6 шт.,6 шт.,1 шт.,Есть,,,400 Вт,44 см,19 см,40 см,9 кг,,,,Нет ,,,,,Вертикальное,,,1,,,,,,,,,,,,,,,,AMD,A320M,,,,,,,,,,,,
Компьютер Robotcomp Аллигатор V2 Pink,0.0,0.0,32 490 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-robotcomp-alligator-v2-pink/,Россия,3 года,,Windows 10 Профессиональная x64 ,AMD ,Ryzen 5 4600G,3.7 ГГц ,4.2 ГГц,6 ,8 МБ,16 ГБ ,32 ГБ,DDR4,2666 МГц,2 шт.,SSD ,480 ГБ ,Интегрированная ,AMD ,AMD Radeon Graphics,,SMA,1000/100/10 Мбит/с,,,1 шт.,,6 шт.,6 шт.,1 шт.,Есть,,,400 Вт,44 см,19 см,40 см,9 кг,,,,Нет ,,,,,Вертикальное,,,1,,,,,,,,,,,,,,,,AMD,A320M,,,,,,,,,,,,
Компьютер Robotcomp Аллигатор V2 Plus Pink,0.0,0.0,38 190 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-robotcomp-alligator-v2-plus-pink/,Россия,3 года,,Windows 10 Профессиональная x64 ,AMD ,Ryzen 5 4600G,3.7 ГГц ,4.2 ГГц,6 ,8 МБ,32 ГБ ,64 ГБ,DDR4,2666 МГц,2 шт.,SSD ,480 ГБ ,Интегрированная ,AMD ,AMD Radeon Graphics,,SMA,1000/100/10 Мбит/с,,,1 шт.,,6 шт.,6 шт.,1 шт.,Есть,,,400 Вт,44 см,19 см,40 см,9 кг,,,,Нет ,,,,,Вертикальное,,,1,,,,,,,,,,,,,,,,AMD,A320M,,,,,,,,,,,,
Компьютер Robotcomp Аллигатор V3 Pink,0.0,0.0,37 790 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-robotcomp-alligator-v3-pink/,Россия,3 года,,Windows 10 Профессиональная x64 ,AMD ,Ryzen 5 4600G,3.7 ГГц ,4.2 ГГц,6 ,8 МБ,16 ГБ ,64 ГБ,DDR4,2666 МГц,2 шт.,SSD ,480 ГБ ,Интегрированная ,AMD ,AMD Radeon Graphics,,SMA,1000/100/10 Мбит/с,,,1 шт.,,6 шт.,6 шт.,1 шт.,Есть,,,400 Вт,44 см,19 см,40 см,9 кг,,,,Нет ,,Есть ,,,Вертикальное,,,1,,,,,,,,,,,,,,,,AMD,A320M,,,,,,,,,,,,
Компьютер Robotcomp Аллигатор V3 Plus Pink,0.0,0.0,46 990 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-robotcomp-alligator-v3-plus-pink/,Россия,3 года,,Windows 10 Профессиональная x64 ,AMD ,Ryzen 5 4600G,3.7 ГГц ,4.2 ГГц,6 ,8 МБ,32 ГБ ,64 ГБ,DDR4,2666 МГц,2 шт.,SSD ,480 ГБ ,Интегрированная ,AMD ,AMD Radeon Graphics,,SMA,1000/100/10 Мбит/с,,,1 шт.,,6 шт.,6 шт.,1 шт.,Есть,,,400 Вт,44 см,19 см,40 см,9 кг,,,,Нет ,,Есть ,,,Вертикальное,,,1,,,,,,,,,,,,,,,,AMD,A320M,,,,,,,,,,,,
Компьютер Robotcomp Аллигатор 2.0 Pink,0.0,0.0,32 690 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-robotcomp-alligator-2-0-pink/,Россия,3 года,,FreeDOS ,AMD ,Ryzen 5 5600G,3.9 ГГц ,4.4 ГГц,6 ,16 МБ,16 ГБ ,64 ГБ,DDR4,2666 МГц,2 шт.,SSD ,480 ГБ ,Интегрированная ,AMD ,AMD Radeon Graphics,,SMA,1000/100/10 Мбит/с,,Есть,1 шт.,,6 шт.,6 шт.,1 шт.,Есть,,,500 Вт,42 см,21 см,38 см,9 кг,,,,Нет ,,,,,Вертикальное,,,1,,,,,,,,,,,,,,,,AMD,B450М,,,,,,,,,,,,
Компьютер Robotcomp Аллигатор 2.0 Plus Pink,0.0,0.0,38 390 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-robotcomp-alligator-2-0-plus-pink/,Россия,3 года,,FreeDOS ,AMD ,Ryzen 5 5600G,3.9 ГГц ,4.4 ГГц,6 ,16 МБ,32 ГБ ,64 ГБ,DDR4,2666 МГц,2 шт.,SSD ,480 ГБ ,Интегрированная ,AMD ,AMD Radeon Graphics,,SMA,1000/100/10 Мбит/с,,Есть,1 шт.,,6 шт.,6 шт.,1 шт.,Есть,,,500 Вт,42 см,21 см,38 см,9 кг,,,,Нет ,,,,,Вертикальное,,,1,,,,,,,,,,,,,,,,AMD,B450М,,,,,,,,,,,,
