Название,Рейтинг,Количество отзывов,Цена,link,Страна,Гарантия,Игровой системный блок,Операционная система,Производитель процессора,Модель процессора,Тактовая частота,Максимальная тактовая частота,Количество ядер,Кэш L3,Объем оперативной памяти,Максимальный объем,Тип оперативной памяти,Частота памяти,Слоты для оперативной памяти,Тип накопителя,Объем накопителя,Тип видеокарты,Производитель видеокарты,Модель видеокарты,Объем видеопамяти,Тип видеопамяти,LAN-адаптер,VGA (D-Sub),DVI,HDMI,DisplayPort,USB 2.0,USB 3.0,LAN разъем (RJ-45),Фронтальный разъем для наушников/микрофона 3.5мм,Типоразмер корпуса,Подсветка корпуса,Мощность блока питания,Высота,Ширина,Глубина,Вес,Цвет,USB,Разъем для наушников,Тип оптического привода,Bluetooth-адаптер,Wi-Fi,Стандарт Wi-Fi,USB 3.0 (Type-C),Размещение,Объем первого накопителя,Объем второго накопителя,Line-In,Фронтальный разъем для наушников 3.5мм,Кэш L2,Разъем для наушников/микрофона,USB 3.1,USB 3.1 (Type-C),Разъем для микрофона,Материал корпуса,Фронтальный разъем для микрофона 3.5мм,Дополнительная информация,Картридер,Интерфейс подключения,Скорость вращения шпинделя,Кабель питания,Тип вилки,PS/2,Производитель чипсета,Модель чипсета,Количество ядер графического процессора,Thunderbolt/USB 4,USB 3.2,Звуковая карта,Speaker-Out,Thunderbolt 3,Toslink,USB 3.2 (Type-C),Клавиатура,Мышь,Последовательный порт RS-232,Разрядность
Игровой компьютер Robotcomp M16 2.0 V2 White,0.0,0.0,73 590 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-robotcomp-m16-2-0-v2-white/,Россия,3 года,Есть ,Windows 10 Профессиональная ,Intel ,Core i5-12400F,2.5 ГГц ,4.4 ГГц,6 ,18 МБ,16 ГБ ,64 ГБ,DDR4,2666 МГц,2 шт.,SSD ,960 ГБ ,Дискретная ,NVIDIA ,GeForce GTX 1660 SUPER,6 ГБ,GDDR6,1000/100/10 Мбит/с,,,1 шт.,1,4 шт.,3 шт.,1 шт.,Есть,,Есть,600 Вт,45 см,20 см,44 см,8 кг,Белый,,,Нет ,,,,,Вертикальное,,,1,,,,,,,,,,,,,,,,Intel,H610M,,,,,,,,,,,,
Игровой компьютер Robotcomp M16 2.0 V2 Plus White,0.0,0.0,79 290 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-robotcomp-m16-2-0-v2-plus-white/,Россия,3 года,Есть ,Windows 10 Профессиональная ,Intel ,Core i5-12400F,2.5 ГГц ,4.4 ГГц,6 ,18 МБ,32 ГБ ,64 ГБ,DDR4,2666 МГц,2 шт.,SSD ,960 ГБ ,Дискретная ,NVIDIA ,GeForce GTX 1660 SUPER,6 ГБ,GDDR6,1000/100/10 Мбит/с,,,1 шт.,1,4 шт.,3 шт.,1 шт.,Есть,,Есть,600 Вт,45 см,20 см,44 см,8 кг,Белый,,,Нет ,,,,,Вертикальное,,,1,,,,,,,,,,,,,,,,Intel,H610M,,,,,,,,,,,,
Игровой компьютер Robotcomp M16 2.0 V3 White,0.0,0.0,78 890 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-robotcomp-m16-2-0-v3-white/,Россия,3 года,Есть ,Windows 10 Профессиональная ,Intel ,Core i5-12400F,2.5 ГГц ,4.4 ГГц,6 ,18 МБ,16 ГБ ,64 ГБ,DDR4,2666 МГц,2 шт.,SSD ,960 ГБ ,Дискретная ,NVIDIA ,GeForce GTX 1660 SUPER,6 ГБ,GDDR6,1000/100/10 Мбит/с,,,1 шт.,1,4 шт.,3 шт.,1 шт.,Есть,,Есть,600 Вт,45 см,20 см,44 см,8 кг,Белый,,,Нет ,,Есть ,"IEEE 802.11b, IEEE 802.11a, IEEE 802.11g, IEEE 802.11n",,Вертикальное,,,1,,,,,,,,,,,,,,,,Intel,H610M,,,,,,,,,,,,
Игровой компьютер Robotcomp M16 2.0 V3 Plus White,0.0,0.0,84 590 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-robotcomp-m16-2-0-v3-plus-white/,Россия,3 года,Есть ,Windows 10 Профессиональная ,Intel ,Core i5-12400F,2.5 ГГц ,4.4 ГГц,6 ,18 МБ,32 ГБ ,64 ГБ,DDR4,2666 МГц,2 шт.,SSD ,960 ГБ ,Дискретная ,NVIDIA ,GeForce GTX 1660 SUPER,6 ГБ,GDDR6,1000/100/10 Мбит/с,,,1 шт.,1,4 шт.,3 шт.,1 шт.,Есть,,Есть,600 Вт,45 см,20 см,44 см,8 кг,Белый,,,Нет ,,Есть ,"IEEE 802.11b, IEEE 802.11a, IEEE 802.11g, IEEE 802.11n",,Вертикальное,,,1,,,,,,,,,,,,,,,,Intel,H610M,,,,,,,,,,,,
Игровой компьютер Robotcomp M16 2.0 Pink,0.0,0.0,69 790 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-robotcomp-m16-2-0-pink/,Россия,3 года,Есть ,FreeDOS ,Intel ,Core i5-12400F,2.5 ГГц ,4.4 ГГц,6 ,18 МБ,16 ГБ ,64 ГБ,DDR4,2666 МГц,2 шт.,SSD ,960 ГБ ,Дискретная ,NVIDIA ,GeForce GTX 1660 SUPER,6 ГБ,GDDR6,1000/100/10 Мбит/с,,,1 шт.,1,4 шт.,3 шт.,1 шт.,Есть,,Есть,600 Вт,45 см,20 см,40 см,8 кг,,,,Нет ,,,,,Вертикальное,,,1,,,,,,,,,,,,,,,,Intel,H610M,,,,,,,,,,,,
Игровой компьютер Robotcomp M16 2.0 Plus Pink,0.0,0.0,75 490 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-robotcomp-m16-2-0-plus-pink/,Россия,3 года,Есть ,FreeDOS ,Intel ,Core i5-12400F,2.5 ГГц ,4.4 ГГц,6 ,18 МБ,32 ГБ ,64 ГБ,DDR4,2666 МГц,2 шт.,SSD ,960 ГБ ,Дискретная ,NVIDIA ,GeForce GTX 1660 SUPER,6 ГБ,GDDR6,1000/100/10 Мбит/с,,,1 шт.,1,4 шт.,3 шт.,1 шт.,Есть,,Есть,600 Вт,45 см,20 см,40 см,8 кг,,,,Нет ,,,,,Вертикальное,,,1,,,,,,,,,,,,,,,,Intel,H610M,,,,,,,,,,,,
Игровой компьютер Robotcomp M16 2.0 V2 Pink,0.0,0.0,73 590 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-robotcomp-m16-2-0-v2-pink/,Россия,3 года,Есть ,Windows 10 Профессиональная ,Intel ,Core i5-12400F,2.5 ГГц ,4.4 ГГц,6 ,18 МБ,16 ГБ ,64 ГБ,DDR4,2666 МГц,2 шт.,SSD ,960 ГБ ,Дискретная ,NVIDIA ,GeForce GTX 1660 SUPER,6 ГБ,GDDR6,1000/100/10 Мбит/с,,,1 шт.,1,4 шт.,3 шт.,1 шт.,Есть,,Есть,600 Вт,45 см,20 см,40 см,8 кг,,,,Нет ,,,,,Вертикальное,,,1,,,,,,,,,,,,,,,,Intel,H610M,,,,,,,,,,,,
Игровой компьютер Robotcomp M16 2.0 V2 Plus Pink,0.0,0.0,79 290 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-robotcomp-m16-2-0-v2-plus-pink/,Россия,3 года,Есть ,Windows 10 Профессиональная ,Intel ,Core i5-12400F,2.5 ГГц ,4.4 ГГц,6 ,18 МБ,32 ГБ ,64 ГБ,DDR4,2666 МГц,2 шт.,SSD ,960 ГБ ,Дискретная ,NVIDIA ,GeForce GTX 1660 SUPER,6 ГБ,GDDR6,1000/100/10 Мбит/с,,,1 шт.,1,4 шт.,3 шт.,1 шт.,Есть,,Есть,600 Вт,45 см,20 см,40 см,8 кг,,,,Нет ,,,,,Вертикальное,,,1,,,,,,,,,,,,,,,,Intel,H610M,,,,,,,,,,,,
Игровой компьютер Robotcomp M16 2.0 V3 Pink,0.0,0.0,78 890 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-robotcomp-m16-2-0-v3-pink/,Россия,3 года,Есть ,Windows 10 Профессиональная ,Intel ,Core i5-12400F,2.5 ГГц ,4.4 ГГц,6 ,18 МБ,16 ГБ ,64 ГБ,DDR4,2666 МГц,2 шт.,SSD ,960 ГБ ,Дискретная ,NVIDIA ,GeForce GTX 1660 SUPER,6 ГБ,GDDR6,1000/100/10 Мбит/с,,,1 шт.,1,4 шт.,3 шт.,1 шт.,Есть,,Есть,600 Вт,45 см,20 см,40 см,8 кг,,,,Нет ,,Есть ,"IEEE 802.11b, IEEE 802.11a, IEEE 802.11g, IEEE 802.11n",,Вертикальное,,,1,,,,,,,,,,,,,,,,Intel,H610M,,,,,,,,,,,,
Игровой компьютер Robotcomp M16 2.0 V3 Plus Pink,0.0,0.0,84 590 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-robotcomp-m16-2-0-v3-plus-pink/,Россия,3 года,Есть ,Windows 10 Профессиональная ,Intel ,Core i5-12400F,2.5 ГГц ,4.4 ГГц,6 ,18 МБ,32 ГБ ,64 ГБ,DDR4,2666 МГц,2 шт.,SSD ,960 ГБ ,Дискретная ,NVIDIA ,GeForce GTX 1660 SUPER,6 ГБ,GDDR6,1000/100/10 Мбит/с,,,1 шт.,1,4 шт.,3 шт.,1 шт.,Есть,,Есть,600 Вт,45 см,20 см,40 см,8 кг,,,,Нет ,,Есть ,"IEEE 802.11b, IEEE 802.11a, IEEE 802.11g, IEEE 802.11n",,Вертикальное,,,1,,,,,,,,,,,,,,,,Intel,H610M,,,,,,,,,,,,
Игровой компьютер Robotcomp Zero V2 White,0.0,0.0,86 590 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-robotcomp-zero-v2-white/,Россия,3 года,Есть ,Windows 10 Профессиональная x64 ,AMD ,Ryzen 5 5600X,3.7 ГГц ,4.6 ГГц,6 ,16 МБ,32 ГБ ,64 ГБ,DDR4,3000 МГц,2 шт.,HDD+SSD ,1.512 ТБ ,Дискретная ,NVIDIA ,GeForce RTX 3060,12 ГБ,GDDR6,1000/100/10 Мбит/с,,,1 шт.,1,1 шт.,2 шт.,1 шт.,Есть,,Есть,700 Вт,46 см,21 см,45 см,12 кг,Белый,,,Нет ,,,,,Вертикальное,1 ТБ,512 ГБ,1,,,,,,,,,,,M.2,,,,,AMD,B450М,,,,,,,,,,,,
Игровой компьютер Robotcomp Zero V3 White,0.0,0.0,91 890 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-robotcomp-zero-v3-white/,Россия,3 года,Есть ,Windows 10 Профессиональная x64 ,AMD ,Ryzen 5 5600X,3.7 ГГц ,4.6 ГГц,6 ,16 МБ,32 ГБ ,64 ГБ,DDR4,3000 МГц,2 шт.,HDD+SSD ,1.512 ТБ ,Дискретная ,NVIDIA ,GeForce RTX 3060,12 ГБ,GDDR6,1000/100/10 Мбит/с,,,1 шт.,1,1 шт.,2 шт.,1 шт.,Есть,,Есть,700 Вт,46 см,21 см,45 см,12 кг,Белый,,,Нет ,,Есть ,,,Вертикальное,1 ТБ,512 ГБ,1,,,,,,,,,,,M.2,,,,,AMD,B450М,,,,,,,,,,,,
Игровой компьютер Robotcomp Zero V2 Pink,0.0,0.0,86 590 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-robotcomp-zero-v2-pink/,Россия,3 года,Есть ,Windows 10 Профессиональная x64 ,AMD ,Ryzen 5 5600X,3.7 ГГц ,4.6 ГГц,6 ,16 МБ,32 ГБ ,64 ГБ,DDR4,3000 МГц,2 шт.,HDD+SSD ,1.512 ТБ ,Дискретная ,NVIDIA ,GeForce RTX 3060,12 ГБ,GDDR6,1000/100/10 Мбит/с,,,1 шт.,1,1 шт.,2 шт.,1 шт.,Есть,,Есть,700 Вт,46 см,21 см,45 см,9 кг,,,,Нет ,,,,,Вертикальное,1 ТБ,512 ГБ,1,,,,,,,,,,,M.2,,,,,AMD,B450М,,,,,,,,,,,,
Игровой компьютер Robotcomp M16 3.0 Magic Red,0.0,0.0,79 590 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-robotcomp-m16-3-0-magic-red/,Россия,3 года,Есть ,FreeDOS ,Intel ,Core i5-12400F,2.5 ГГц ,4.4 ГГц,6 ,18 МБ,16 ГБ ,64 ГБ,DDR4,2666 МГц,2 шт.,SSD ,960 ГБ ,Дискретная ,NVIDIA ,GeForce RTX 3060,12 ГБ,GDDR6,1000/100/10 Мбит/с,,,1 шт.,1,4 шт.,3 шт.,1 шт.,Есть,,Есть,600 Вт,45 см,21 см,44 см,8 кг,Черный,,,Нет ,,,,,Вертикальное,,,1,,,,,,,,,,,,,,,,Intel,B660M,,,,,,,,,,,,
Игровой компьютер Robotcomp Zero V3 Pink,0.0,0.0,91 890 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-robotcomp-zero-v3-pink/,Россия,3 года,Есть ,Windows 10 Профессиональная x64 ,AMD ,Ryzen 5 5600X,3.7 ГГц ,4.6 ГГц,6 ,16 МБ,32 ГБ ,64 ГБ,DDR4,3000 МГц,2 шт.,HDD+SSD ,1.512 ТБ ,Дискретная ,NVIDIA ,GeForce RTX 3060,12 ГБ,GDDR6,1000/100/10 Мбит/с,,,1 шт.,1,1 шт.,2 шт.,1 шт.,Есть,,Есть,700 Вт,46 см,21 см,45 см,9 кг,,,,Нет ,,Есть ,,,Вертикальное,1 ТБ,512 ГБ,1,,,,,,,,,,,M.2,,,,,AMD,B450М,,,,,,,,,,,,
Игровой компьютер Robotcomp Анаконда White,0.0,0.0,91 190 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-robotcomp-anakonda-white/,Россия,3 года,Есть ,FreeDOS ,Intel ,,3.7 ГГц ,4.9 ГГц,10 ,25 МБ,16 ГБ ,64 ГБ,DDR4,2666 МГц,2 шт.,SSD ,512 ГБ ,Дискретная ,NVIDIA ,GeForce RTX 3060,12 ГБ,GDDR6,1000/100/10 Мбит/с,,,1 шт.,2,2 шт.,2 шт.,1 шт.,Есть,,Есть,700 Вт,50 см,23 см,39 см,9 кг,Белый,,,Нет ,,,,,Вертикальное,,,2,,,,,,,,,,,,,,,,Intel,B660M,,,,,,,,,,,,
Игровой компьютер Robotcomp Анаконда Plus White,0.0,0.0,96 790 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-robotcomp-anakonda-plus-white/,Россия,3 года,Есть ,FreeDOS ,Intel ,,3.7 ГГц ,4.9 ГГц,10 ,25 МБ,32 ГБ ,64 ГБ,DDR4,2666 МГц,2 шт.,SSD ,512 ГБ ,Дискретная ,NVIDIA ,GeForce RTX 3060,12 ГБ,GDDR6,1000/100/10 Мбит/с,,,1 шт.,2,2 шт.,2 шт.,1 шт.,Есть,,Есть,700 Вт,50 см,23 см,39 см,9 кг,Белый,,,Нет ,,,,,Вертикальное,,,2,,,,,,,,,,,,,,,,Intel,B660M,,,,,,,,,,,,
Игровой компьютер Robotcomp Анаконда V2 White,0.0,0.0,94 890 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-robotcomp-anakonda-v2-white/,Россия,3 года,Есть ,Windows 10 Профессиональная x64 ,Intel ,,3.7 ГГц ,4.9 ГГц,10 ,25 МБ,16 ГБ ,64 ГБ,DDR4,2666 МГц,2 шт.,SSD ,512 ГБ ,Дискретная ,NVIDIA ,GeForce RTX 3060,12 ГБ,GDDR6,1000/100/10 Мбит/с,,,1 шт.,2,2 шт.,2 шт.,1 шт.,Есть,,Есть,700 Вт,50 см,23 см,39 см,9 кг,Белый,,,Нет ,,,,,Вертикальное,,,2,,,,,,,,,,,,,,,,Intel,B660M,,,,,,,,,,,,
Игровой компьютер Robotcomp Анаконда V2 Plus White,0.0,0.0,100 590 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-robotcomp-anakonda-v2-plus-white/,Россия,3 года,Есть ,Windows 10 Профессиональная x64 ,Intel ,,3.7 ГГц ,4.9 ГГц,10 ,25 МБ,32 ГБ ,64 ГБ,DDR4,2666 МГц,2 шт.,SSD ,512 ГБ ,Дискретная ,NVIDIA ,GeForce RTX 3060,12 ГБ,GDDR6,1000/100/10 Мбит/с,,,1 шт.,2,2 шт.,2 шт.,1 шт.,Есть,,Есть,700 Вт,50 см,23 см,39 см,9 кг,Белый,,,Нет ,,,,,Вертикальное,,,2,,,,,,,,,,,,,,,,Intel,B660M,,,,,,,,,,,,
Игровой компьютер Robotcomp M16 3.0 V2 Plus Magic Red,0.0,0.0,89 190 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-robotcomp-m16-3-0-v2-plus-magic-red/,Россия,3 года,Есть ,Windows 10 Профессиональная ,Intel ,Core i5-12400F,2.5 ГГц ,4.4 ГГц,6 ,18 МБ,32 ГБ ,64 ГБ,DDR4,2666 МГц,2 шт.,SSD ,960 ГБ ,Дискретная ,NVIDIA ,GeForce RTX 3060,12 ГБ,GDDR6,1000/100/10 Мбит/с,,,1 шт.,1,4 шт.,3 шт.,1 шт.,Есть,,Есть,600 Вт,45 см,21 см,44 см,8 кг,Черный,,,Нет ,,,,,Вертикальное,,,1,,,,,,,,,,,,,,,,Intel,B660M,,,,,,,,,,,,
Игровой компьютер Robotcomp Анаконда V3 White,0.0,0.0,100 190 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-robotcomp-anakonda-v3-white/,Россия,3 года,Есть ,Windows 10 Профессиональная x64 ,Intel ,,3.7 ГГц ,4.9 ГГц,10 ,25 МБ,16 ГБ ,64 ГБ,DDR4,2666 МГц,2 шт.,SSD ,512 ГБ ,Дискретная ,NVIDIA ,GeForce RTX 3060,12 ГБ,GDDR6,1000/100/10 Мбит/с,,,1 шт.,2,2 шт.,2 шт.,1 шт.,Есть,,Есть,700 Вт,50 см,23 см,39 см,9 кг,Белый,,,Нет ,,Есть ,,,Вертикальное,,,2,,,,,,,,,,,,,,,,Intel,B660M,,,,,,,,,,,,
Игровой компьютер Robotcomp M16 3.0 Plus Magic Red,0.0,0.0,85 290 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-robotcomp-m16-3-0-plus-magic-red/,Россия,3 года,Есть ,FreeDOS ,Intel ,Core i5-12400F,2.5 ГГц ,4.4 ГГц,6 ,18 МБ,32 ГБ ,64 ГБ,DDR4,2666 МГц,2 шт.,SSD ,960 ГБ ,Дискретная ,NVIDIA ,GeForce RTX 3060,12 ГБ,GDDR6,1000/100/10 Мбит/с,,,1 шт.,1,4 шт.,3 шт.,1 шт.,Есть,,Есть,600 Вт,45 см,21 см,44 см,8 кг,Черный,,,Нет ,,,,,Вертикальное,,,1,,,,,,,,,,,,,,,,Intel,B660M,,,,,,,,,,,,
Игровой компьютер Robotcomp Анаконда V3 Plus White,0.0,0.0,105 890 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-robotcomp-anakonda-v3-plus-white/,Россия,3 года,Есть ,Windows 10 Профессиональная x64 ,Intel ,,3.7 ГГц ,4.9 ГГц,10 ,25 МБ,32 ГБ ,64 ГБ,DDR4,2666 МГц,2 шт.,SSD ,512 ГБ ,Дискретная ,NVIDIA ,GeForce RTX 3060,12 ГБ,GDDR6,1000/100/10 Мбит/с,,,1 шт.,2,2 шт.,2 шт.,1 шт.,Есть,,Есть,700 Вт,50 см,23 см,39 см,9 кг,Белый,,,Нет ,,Есть ,,,Вертикальное,,,2,,,,,,,,,,,,,,,,Intel,B660M,,,,,,,,,,,,
Игровой компьютер Robotcomp M16 3.0 V2 Magic Red,0.0,0.0,83 490 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-robotcomp-m16-3-0-v2-magic-red/,Россия,3 года,Есть ,Windows 10 Профессиональная ,Intel ,Core i5-12400F,2.5 ГГц ,4.4 ГГц,6 ,18 МБ,16 ГБ ,64 ГБ,DDR4,2666 МГц,2 шт.,SSD ,960 ГБ ,Дискретная ,NVIDIA ,GeForce RTX 3060,12 ГБ,GDDR6,1000/100/10 Мбит/с,,,1 шт.,1,4 шт.,3 шт.,1 шт.,Есть,,Есть,600 Вт,45 см,21 см,44 см,8 кг,Черный,,,Нет ,,,,,Вертикальное,,,1,,,,,,,,,,,,,,,,Intel,B660M,,,,,,,,,,,,
Игровой компьютер Robotcomp M16 3.0 V3 Magic Red,0.0,0.0,88 790 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-robotcomp-m16-3-0-v3-magic-red/,Россия,3 года,Есть ,Windows 10 Профессиональная ,Intel ,Core i5-12400F,2.5 ГГц ,4.4 ГГц,6 ,18 МБ,16 ГБ ,64 ГБ,DDR4,2666 МГц,2 шт.,SSD ,960 ГБ ,Дискретная ,NVIDIA ,GeForce RTX 3060,12 ГБ,GDDR6,1000/100/10 Мбит/с,,,1 шт.,1,4 шт.,3 шт.,1 шт.,Есть,,Есть,600 Вт,45 см,21 см,44 см,8 кг,Черный,,,Нет ,,Есть ,"IEEE 802.11b, IEEE 802.11a, IEEE 802.11g, IEEE 802.11n",,Вертикальное,,,1,,,,,,,,,,,,,,,,Intel,B660M,,,,,,,,,,,,
Игровой компьютер Robotcomp M16 3.0 V3 Plus Magic Red,0.0,0.0,94 490 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-robotcomp-m16-3-0-v3-plus-magic-red/,Россия,3 года,Есть ,Windows 10 Профессиональная ,Intel ,Core i5-12400F,2.5 ГГц ,4.4 ГГц,6 ,18 МБ,32 ГБ ,64 ГБ,DDR4,2666 МГц,2 шт.,SSD ,960 ГБ ,Дискретная ,NVIDIA ,GeForce RTX 3060,12 ГБ,GDDR6,1000/100/10 Мбит/с,,,1 шт.,1,4 шт.,3 шт.,1 шт.,Есть,,Есть,600 Вт,45 см,21 см,44 см,8 кг,Черный,,,Нет ,,Есть ,"IEEE 802.11b, IEEE 802.11a, IEEE 802.11g, IEEE 802.11n",,Вертикальное,,,1,,,,,,,,,,,,,,,,Intel,B660M,,,,,,,,,,,,
Игровой компьютер Robotcomp M16 3.0 Pink,0.0,0.0,79 590 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-robotcomp-m16-3-0-pink/,Россия,3 года,Есть ,FreeDOS ,Intel ,Core i5-12400F,2.5 ГГц ,4.4 ГГц,6 ,18 МБ,16 ГБ ,64 ГБ,DDR4,2666 МГц,2 шт.,SSD ,960 ГБ ,Дискретная ,NVIDIA ,GeForce RTX 3060,12 ГБ,GDDR6,1000/100/10 Мбит/с,,,1 шт.,1,4 шт.,3 шт.,1 шт.,Есть,,Есть,600 Вт,42 см,22 см,38 см,8 кг,,,,Нет ,,,,,Вертикальное,,,1,,,,,,,,,,,,,,,,Intel,B660M,,,,,,,,,,,,
Игровой компьютер Robotcomp M16 3.0 Plus Pink,0.0,0.0,85 290 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-robotcomp-m16-3-0-plus-pink/,Россия,3 года,Есть ,FreeDOS ,Intel ,Core i5-12400F,2.5 ГГц ,4.4 ГГц,6 ,18 МБ,32 ГБ ,64 ГБ,DDR4,2666 МГц,2 шт.,SSD ,960 ГБ ,Дискретная ,NVIDIA ,GeForce RTX 3060,12 ГБ,GDDR6,1000/100/10 Мбит/с,,,1 шт.,1,4 шт.,3 шт.,1 шт.,Есть,,Есть,600 Вт,42 см,22 см,38 см,8 кг,,,,Нет ,,,,,Вертикальное,,,1,,,,,,,,,,,,,,,,Intel,B660M,,,,,,,,,,,,
Игровой компьютер Robotcomp M16 3.0 V2 Pink,0.0,0.0,83 490 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-robotcomp-m16-3-0-v2-pink/,Россия,3 года,Есть ,Windows 10 Профессиональная ,Intel ,Core i5-12400F,2.5 ГГц ,4.4 ГГц,6 ,18 МБ,16 ГБ ,64 ГБ,DDR4,2666 МГц,2 шт.,SSD ,960 ГБ ,Дискретная ,NVIDIA ,GeForce RTX 3060,12 ГБ,GDDR6,1000/100/10 Мбит/с,,,1 шт.,1,4 шт.,3 шт.,1 шт.,Есть,,Есть,600 Вт,42 см,22 см,38 см,8 кг,,,,Нет ,,,,,Вертикальное,,,1,,,,,,,,,,,,,,,,Intel,B660M,,,,,,,,,,,,
Игровой компьютер Robotcomp M16 3.0 V2 Plus Pink,0.0,0.0,89 190 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-robotcomp-m16-3-0-v2-plus-pink/,Россия,3 года,Есть ,Windows 10 Профессиональная ,Intel ,Core i5-12400F,2.5 ГГц ,4.4 ГГц,6 ,18 МБ,32 ГБ ,64 ГБ,DDR4,2666 МГц,2 шт.,SSD ,960 ГБ ,Дискретная ,NVIDIA ,GeForce RTX 3060,12 ГБ,GDDR6,1000/100/10 Мбит/с,,,1 шт.,1,4 шт.,3 шт.,1 шт.,Есть,,Есть,600 Вт,42 см,22 см,38 см,8 кг,,,,Нет ,,,,,Вертикальное,,,1,,,,,,,,,,,,,,,,Intel,B660M,,,,,,,,,,,,
Игровой компьютер Robotcomp M16 3.0 V3 Pink,0.0,0.0,88 790 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-robotcomp-m16-3-0-v3-pink/,Россия,3 года,Есть ,Windows 10 Профессиональная ,Intel ,Core i5-12400F,2.5 ГГц ,4.4 ГГц,6 ,18 МБ,16 ГБ ,64 ГБ,DDR4,2666 МГц,2 шт.,SSD ,960 ГБ ,Дискретная ,NVIDIA ,GeForce RTX 3060,12 ГБ,GDDR6,1000/100/10 Мбит/с,,,1 шт.,1,4 шт.,3 шт.,1 шт.,Есть,,Есть,600 Вт,42 см,22 см,38 см,8 кг,,,,Нет ,,Есть ,"IEEE 802.11b, IEEE 802.11a, IEEE 802.11g, IEEE 802.11n",,Вертикальное,,,1,,,,,,,,,,,,,,,,Intel,B660M,,,,,,,,,,,,
Игровой компьютер Robotcomp M16 3.0 V3 Plus Pink,0.0,0.0,94 490 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-robotcomp-m16-3-0-v3-plus-pink/,Россия,3 года,Есть ,Windows 10 Профессиональная ,Intel ,Core i5-12400F,2.5 ГГц ,4.4 ГГц,6 ,18 МБ,32 ГБ ,64 ГБ,DDR4,2666 МГц,2 шт.,SSD ,960 ГБ ,Дискретная ,NVIDIA ,GeForce RTX 3060,12 ГБ,GDDR6,1000/100/10 Мбит/с,,,1 шт.,1,4 шт.,3 шт.,1 шт.,Есть,,Есть,600 Вт,42 см,22 см,38 см,8 кг,,,,Нет ,,Есть ,"IEEE 802.11b, IEEE 802.11a, IEEE 802.11g, IEEE 802.11n",,Вертикальное,,,1,,,,,,,,,,,,,,,,Intel,B660M,,,,,,,,,,,,
Игровой компьютер Robotcomp Анаконда Pink,0.0,0.0,91 190 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-robotcomp-anakonda-pink/,Россия,3 года,Есть ,FreeDOS ,Intel ,,3.7 ГГц ,4.9 ГГц,10 ,25 МБ,16 ГБ ,64 ГБ,DDR4,2666 МГц,2 шт.,SSD ,512 ГБ ,Дискретная ,NVIDIA ,GeForce RTX 3060,12 ГБ,GDDR6,1000/100/10 Мбит/с,,,1 шт.,2,2 шт.,2 шт.,1 шт.,Есть,,,700 Вт,50 см,23 см,39 см,9 кг,,,,Нет ,,,,,Вертикальное,,,2,,,,,,,,,,,,,,,,Intel,B660M,,,,,,,,,,,,
