Мощность сабвуфера,Операционная система,Цифровое шумоподавление,Цвет,Поддержка NFC,Количество отзывов,Размер VESA,Название,Вес без подставки,Время отклика пикселя,Разъем для наушников,Яркость экрана,Соотношение сторон,Акустическая схема,Рейтинг,Цена,Встроенный Wi-Fi,Объем оперативной памяти,Гарантия,Прогрессивная развертка,Страна производитель,Разрешение,Встроенный сабвуфер,Тип панели,Таймер включения/выключения,Управление со смартфона,Встроенный Bluetooth,Контрастность,Поддержка HDR,Диагональ,Объем встроенной памяти,Телетекст,Частота обновления,Родительский контроль
0,0,0.0,0,0.0,6.0,14,"43"" polarline 43pu11tc-sm",0.0,0.0,0.0,0.0,0,0,5.0,20070.0,0.0,0.0,0.0,0.0,0,0,0.0,6,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,0.0,0,0.0,0.0,14,"28"" lg 28ln525v-pz.arub",0.0,0.0,0.0,0.0,0,0,0.0,15990.0,0.0,0.0,0.0,0.0,0,0,0.0,6,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,0.0,0,0.0,1.0,14,"65"" samsung qe65qn85bauxce",0.0,0.0,0.0,0.0,0,0,5.0,149999.0,0.0,0.0,0.0,0.0,0,0,0.0,6,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,0.0,0,0.0,1.0,14,"43"" hyundai h-led43bs5001",0.0,0.0,0.0,0.0,0,0,5.0,16800.0,0.0,0.0,0.0,0.0,0,0,0.0,6,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,0.0,0,0.0,0.0,14,"50"" samsung ue50bu8500uxce",0.0,0.0,0.0,0.0,0,0,0.0,59990.0,0.0,0.0,0.0,0.0,0,0,0.0,6,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,0.0,0,0.0,10.0,14,"24"" polarline 24pl12tc",0.0,0.0,0.0,0.0,0,0,4.6,9190.0,0.0,0.0,0.0,0.0,0,0,0.0,6,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,0.0,0,0.0,13.0,14,"43"" lg 43up75006lf",0.0,0.0,0.0,0.0,0,0,4.5,38990.0,0.0,0.0,0.0,0.0,0,0,0.0,6,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,0.0,0,0.0,0.0,14,"75"" samsung ue75bu8000uxce",0.0,0.0,0.0,0.0,0,0,0.0,119990.0,0.0,0.0,0.0,0.0,0,0,0.0,6,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,0.0,0,0.0,4.0,14,"55"" lg 55uq76003ld.adkg",0.0,0.0,0.0,0.0,0,0,5.0,49990.0,0.0,0.0,0.0,0.0,0,0,0.0,6,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,0.0,0,0.0,2.0,14,"65"" samsung ue65bu8000uxce",0.0,0.0,0.0,0.0,0,0,4.5,89990.0,0.0,0.0,0.0,0.0,0,0,0.0,6,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,0.0,0,0.0,1.0,14,"40"" bbk 40lex-7202/fts2c",0.0,0.0,0.0,0.0,0,0,5.0,14490.0,0.0,0.0,0.0,0.0,0,0,0.0,6,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,0.0,0,0.0,0.0,14,"40"" bbk 40lem-1002/fts2c",0.0,0.0,0.0,0.0,0,0,0.0,12490.0,0.0,0.0,0.0,0.0,0,0,0.0,6,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
0,8,0.0,0,0.0,11.0,12,"24"" bbk 24lex-7290/ts2c",0.0,0.0,1.0,0.0,0,0,4.7,9490.0,1.0,0.0,12.0,0.0,0,0,0.0,6,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0
0,8,0.0,0,0.0,2.0,3,"55"" yuno ulx-55utcs3234",0.0,0.0,1.0,0.0,0,4,4.0,24390.0,1.0,0.0,12.0,1.0,0,0,0.0,6,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
