Цена,Акустическая схема,Таймер включения/выключения,Разъем для наушников,Встроенный сабвуфер,Прогрессивная развертка,Вес без подставки,Время отклика пикселя,Гарантия,Разрешение,Поддержка NFC,Управление со смартфона,Встроенный Wi-Fi,Встроенный Bluetooth,Поддержка HDR,Контрастность,Размер VESA,Телетекст,Яркость экрана,Мощность сабвуфера,Частота обновления,Родительский контроль,Диагональ,Страна производитель,Операционная система,Название,Соотношение сторон,Объем встроенной памяти,Объем оперативной памяти,Рейтинг,Количество отзывов,Тип панели,Цвет,Цифровое шумоподавление
39999.0,0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,3,0.0,1.0,1.0,1.0,1.0,0.0,4,0.0,0.0,0.0,60.0,0.0,0.0,13,5," 43"" toshiba 43c450ke",0,0.0,0.0,5.0,13.0,8,0,1.0
29999.0,0,1.0,0.0,0.0,0.0,0.0,0.0,12.0,3,0.0,1.0,1.0,1.0,1.0,0.0,14,0.0,0.0,0.0,60.0,0.0,127.0,13,5," 50"" hisense 50a6bg",1,0.0,0.0,5.0,8.0,3,0,1.0
29999.0,0,1.0,1.0,0.0,0.0,0.0,6.5,12.0,3,0.0,0.0,0.0,0.0,1.0,6000.0,14,0.0,300.0,0.0,60.0,0.0,0.0,10,1," 55"" haier 55 smart tv s1",1,0.0,0.0,5.0,9.0,3,0,1.0
64999.0,0,1.0,1.0,0.0,0.0,0.0,8.0,12.0,3,0.0,1.0,0.0,0.0,1.0,4000.0,14,0.0,350.0,0.0,60.0,0.0,0.0,16,1," 55"" artel a55lu8500",1,0.0,0.0,5.0,9.0,3,0,1.0
33999.0,0,1.0,1.0,0.0,0.0,0.0,0.0,12.0,3,0.0,1.0,1.0,1.0,1.0,0.0,14,1.0,0.0,0.0,60.0,0.0,127.0,13,1," 50"" philips 50pus8057/60",1,0.0,0.0,5.0,4.0,3,0,1.0
33999.0,0,1.0,1.0,0.0,0.0,0.0,8.0,12.0,3,0.0,0.0,0.0,0.0,1.0,5000.0,14,0.0,250.0,0.0,60.0,0.0,0.0,10,1," 43"" haier 43 smart tv s3",1,0.0,0.0,5.0,6.0,8,0,1.0
27999.0,0,1.0,1.0,0.0,0.0,0.0,8.0,12.0,3,0.0,0.0,0.0,0.0,1.0,5000.0,14,0.0,280.0,0.0,60.0,0.0,127.0,10,1," 50"" haier 50 smart tv s1",1,0.0,0.0,5.0,5.0,3,0,1.0
22999.0,0,1.0,1.0,0.0,0.0,0.0,6.5,12.0,3,0.0,0.0,0.0,0.0,1.0,5000.0,14,0.0,250.0,0.0,60.0,0.0,0.0,13,1," 43"" haier 43 smart tv s1",1,0.0,0.0,5.0,6.0,3,0,1.0
34999.0,0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,3,0.0,1.0,1.0,1.0,1.0,3800.0,4,0.0,0.0,0.0,60.0,0.0,127.0,13,5," 50"" hisense 50e7hq",1,0.0,0.0,5.0,1.0,8,0,1.0
15999.0,0,1.0,1.0,0.0,0.0,0.0,6.5,12.0,2,0.0,0.0,0.0,0.0,1.0,4000.0,14,0.0,220.0,0.0,60.0,0.0,0.0,13,1," 32"" haier 32 smart tv s1",1,0.0,0.0,5.0,17.0,3,0,1.0
24999.0,0,1.0,0.0,0.0,0.0,0.0,0.0,12.0,3,0.0,1.0,1.0,1.0,1.0,0.0,14,0.0,0.0,0.0,60.0,0.0,0.0,13,5," 43"" hisense 43a6bg",1,0.0,0.0,5.0,13.0,3,0,1.0
59999.0,0,1.0,0.0,0.0,0.0,0.0,8.0,12.0,3,0.0,1.0,0.0,0.0,1.0,5000.0,14,0.0,350.0,0.0,60.0,0.0,0.0,10,1," 55"" haier 55 smart tv ax pro",1,0.0,0.0,5.0,10.0,8,0,1.0
14999.0,0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,1,0.0,1.0,1.0,0.0,0.0,3000.0,3,0.0,0.0,0.0,60.0,0.0,0.0,13,5," 32"" hisense 32a4k",1,0.0,0.0,4.0,8.0,3,0,0.0
21999.0,1,1.0,1.0,0.0,0.0,0.0,0.0,12.0,3,0.0,0.0,1.0,1.0,1.0,0.0,2,0.0,350.0,0.0,60.0,0.0,127.0,13,1," 50"" philips 50pus7406/60",1,0.0,0.0,4.0,11.0,3,0,1.0
14999.0,0,0.0,0.0,0.0,0.0,4.1,0.0,12.0,1,0.0,0.0,1.0,1.0,1.0,0.0,14,0.0,0.0,0.0,60.0,0.0,0.0,10,1," 32"" realme rmt101",0,0.0,0.0,5.0,2.0,3,13,1.0
24999.0,0,0.0,0.0,0.0,0.0,6.3,0.0,12.0,3,0.0,0.0,1.0,1.0,1.0,0.0,3,0.0,0.0,0.0,60.0,0.0,0.0,10,1," 43"" realme tv 43 rmv2004",1,0.0,0.0,5.0,6.0,3,13,1.0
22999.0,0,1.0,0.0,0.0,0.0,0.0,6.5,12.0,3,0.0,1.0,0.0,0.0,0.0,5000.0,14,0.0,250.0,0.0,60.0,1.0,0.0,13,1," 43"" haier 43 smart tv s1",1,0.0,0.0,4.0,11.0,3,0,1.0
