Процессор,Гарантия,Объем SSD,Мышь,Цена,Количество ядер,Количество отзывов,Название,Операционная система,Клавиатура,Рейтинг,Блок питания,Разъем для наушников,Графика,Объем оперативной памяти,Разъем для микрофона
37,36.0,1024.0,0.0,63400.0,4.0,10.0,компьютер iru game 310h5ge,3,0.0,0.0,500.0,1.0,19,16.0,1.0
25,0.0,0.0,0.0,63900.0,0.0,4.0,компьютер iru game 310h5ge,0,0.0,0.0,0.0,0.0,1,0.0,0.0
50,36.0,1024.0,0.0,74900.0,6.0,0.0,‌,3,0.0,0.0,500.0,1.0,19,16.0,1.0
19,36.0,1024.0,0.0,63400.0,8.0,0.0,компьютер iru home 520b5gp,3,0.0,0.0,700.0,1.0,2,16.0,1.0
16,36.0,256.0,0.0,59500.0,6.0,0.0,компьютер iru office 320a3sm,8,0.0,0.0,400.0,1.0,2,8.0,1.0
25,0.0,0.0,0.0,60500.0,0.0,0.0,компьютер iru office 320a3sm,0,0.0,0.0,0.0,0.0,1,0.0,0.0
34,36.0,256.0,0.0,51800.0,4.0,0.0,компьютер iru office 310h5sf,8,0.0,0.0,300.0,1.0,49,8.0,1.0
80,12.0,512.0,1.0,117850.0,12.0,0.0,компьютер lenovo thinkcentre tiny m70q-3,7,1.0,0.0,0.0,0.0,53,16.0,0.0
59,12.0,512.0,1.0,91350.0,6.0,0.0,компьютер lenovo thinkcentre tiny m70q-3,7,1.0,0.0,0.0,0.0,53,16.0,0.0
61,12.0,512.0,0.0,76200.0,10.0,0.0,мини пк msi pro dp180 13-042ru,8,0.0,0.0,500.0,1.0,51,8.0,1.0
62,12.0,512.0,0.0,99300.0,10.0,0.0,мини пк msi pro dp180 13sa-041ru,8,0.0,0.0,500.0,1.0,16,8.0,1.0
25,36.0,0.0,0.0,85400.0,0.0,0.0,компьютер iru game 510b6gs,3,0.0,0.0,650.0,1.0,1,0.0,1.0
56,36.0,1024.0,0.0,105800.0,6.0,0.0,компьютер iru game 510b6gs,3,0.0,0.0,650.0,1.0,27,16.0,1.0
56,36.0,1024.0,0.0,95900.0,6.0,0.0,компьютер iru game 510b6gs,3,0.0,0.0,650.0,1.0,25,16.0,1.0
56,36.0,1024.0,0.0,108500.0,6.0,0.0,компьютер iru game 510b6gs,8,0.0,0.0,650.0,1.0,25,16.0,1.0
56,36.0,1024.0,0.0,85400.0,6.0,0.0,компьютер iru game 510b6gs,3,0.0,0.0,650.0,1.0,24,16.0,1.0
